"","Method","Model","Intercept","Slope","J0","JA","N","Correlation","Power","FWERS","CorMat_Error","No_simulations"
"123","bonf","glm",0.1,0.1,"2","8",400,0.9,0.6328,0.0061,0,10000
"124","bonf","glm",0.1,0.125,"2","8",400,0,1,0.008,0,10000
"125","bonf","glm",0.1,0.125,"2","8",400,0.5,0.9834,0.0068,0,10000
"126","bonf","glm",0.1,0.125,"2","8",400,0.9,0.8765,0.0055,0,10000
"127","bonf","glm",0.1,0.15,"2","8",400,0,1,0.0071,0,10000
"128","bonf","glm",0.1,0.15,"2","8",400,0.5,0.9991,0.0055,0,10000
"129","bonf","glm",0.1,0.15,"2","8",400,0.9,0.9802,0.0045,0,10000
"130","bonf","glm",0.1,0.175,"2","8",400,0,1,0.0071,0,10000
"131","bonf","glm",0.1,0.175,"2","8",400,0.5,1,0.0077,0,10000
"132","bonf","glm",0.1,0.175,"2","8",400,0.9,0.9992,0.006,0,10000
"133","bonf","glm",0.1,0.2,"2","8",400,0,1,0.0069,0,10000
"134","bonf","glm",0.1,0.2,"2","8",400,0.5,1,0.0064,0,10000
"135","bonf","glm",0.1,0.2,"2","8",400,0.9,1,0.0049,0,10000
"136","bonf","glm",0.1,0.001,"8","2",400,0,0.0062,0.0293,0,10000
"137","bonf","glm",0.1,0.001,"8","2",400,0.5,0.0081,0.0243,0,10000
"138","bonf","glm",0.1,0.001,"8","2",400,0.9,0.0053,0.013,0,10000
"139","bonf","glm",0.1,0.025,"8","2",400,0,0.0264,0.0262,0,10000
"140","bonf","glm",0.1,0.025,"8","2",400,0.5,0.0233,0.0202,0,10000
"141","bonf","glm",0.1,0.025,"8","2",400,0.9,0.0195,0.0112,0,10000
"142","bonf","glm",0.1,0.05,"8","2",400,0,0.1129,0.0289,0,10000
"143","bonf","glm",0.1,0.05,"8","2",400,0.5,0.1041,0.0222,0,10000
"144","bonf","glm",0.1,0.05,"8","2",400,0.9,0.082,0.0107,0,10000
"145","bonf","glm",0.1,0.075,"8","2",400,0,0.358,0.0309,0,10000
"146","bonf","glm",0.1,0.075,"8","2",400,0.5,0.2932,0.0228,0,10000
"147","bonf","glm",0.1,0.075,"8","2",400,0.9,0.2456,0.0124,0,10000
"148","bonf","glm",0.1,0.1,"8","2",400,0,0.7031,0.0282,0,10000
"149","bonf","glm",0.1,0.1,"8","2",400,0.5,0.6244,0.0223,0,10000
"150","bonf","glm",0.1,0.1,"8","2",400,0.9,0.5236,0.013,0,10000
"151","bonf","glm",0.1,0.125,"8","2",400,0,0.9441,0.0282,0,10000
"152","bonf","glm",0.1,0.125,"8","2",400,0.5,0.8844,0.0253,0,10000
"153","bonf","glm",0.1,0.125,"8","2",400,0.9,0.8221,0.0116,0,10000
"154","bonf","glm",0.1,0.15,"8","2",400,0,0.9973,0.0286,0,10000
"155","bonf","glm",0.1,0.15,"8","2",400,0.5,0.9867,0.0215,0,10000
"156","bonf","glm",0.1,0.15,"8","2",400,0.9,0.9647,0.0108,0,10000
"157","bonf","glm",0.1,0.175,"8","2",400,0,1,0.0313,0,10000
"158","bonf","glm",0.1,0.175,"8","2",400,0.5,0.9991,0.0205,0,10000
"159","bonf","glm",0.1,0.175,"8","2",400,0.9,0.997,0.0118,0,10000
"160","bonf","glm",0.1,0.2,"8","2",400,0,1,0.0274,0,10000
"161","bonf","glm",0.1,0.2,"8","2",400,0.5,1,0.0225,0,10000
"162","bonf","glm",0.1,0.2,"8","2",400,0.9,0.9999,0.0114,0,10000
"163","mmm","glm",0.1,0.001,"2","8",100,0,0.0088,0.0025,0.0013,10000
"164","mmm","glm",0.1,0.001,"2","8",100,0.5,0.0084,0.0022,0.0015,10000
"165","mmm","glm",0.1,0.001,"2","8",100,0.9,0.0114,0.0061,0.0012,10000
"166","mmm","glm",0.1,0.025,"2","8",100,0,0.0217,0.0031,0.0011,10000
"167","mmm","glm",0.1,0.025,"2","8",100,0.5,0.0224,0.0023,8e-04,10000
"168","mmm","glm",0.1,0.025,"2","8",100,0.9,0.0271,0.0071,4e-04,10000
"169","mmm","glm",0.1,0.05,"2","8",100,0,0.0711,0.0023,5e-04,10000
"170","mmm","glm",0.1,0.05,"2","8",100,0.5,0.0628,0.0033,3e-04,10000
"171","mmm","glm",0.1,0.05,"2","8",100,0.9,0.053,0.0065,6e-04,10000
"172","mmm","glm",0.1,0.075,"2","8",100,0,0.1827,0.0022,3e-04,10000
"173","mmm","glm",0.1,0.075,"2","8",100,0.5,0.1428,0.0036,6e-04,10000
"174","mmm","glm",0.1,0.075,"2","8",100,0.9,0.1169,0.0068,4e-04,10000
"175","mmm","glm",0.1,0.1,"2","8",100,0,0.3784,0.0026,6e-04,10000
"176","mmm","glm",0.1,0.1,"2","8",100,0.5,0.2795,0.0026,2e-04,10000
"177","mmm","glm",0.1,0.1,"2","8",100,0.9,0.2174,0.0062,0,10000
"178","mmm","glm",0.1,0.125,"2","8",100,0,0.6462,0.0019,0,10000
"179","mmm","glm",0.1,0.125,"2","8",100,0.5,0.4729,0.0028,2e-04,10000
"180","mmm","glm",0.1,0.125,"2","8",100,0.9,0.3486,0.0054,3e-04,10000
"181","mmm","glm",0.1,0.15,"2","8",100,0,0.882,0.002,2e-04,10000
"182","mmm","glm",0.1,0.15,"2","8",100,0.5,0.6875,0.0033,5e-04,10000
"183","mmm","glm",0.1,0.15,"2","8",100,0.9,0.5266,0.0062,3e-04,10000
"184","mmm","glm",0.1,0.175,"2","8",100,0,0.9822,0.0019,1e-04,10000
"185","mmm","glm",0.1,0.175,"2","8",100,0.5,0.8528,0.0018,4e-04,10000
"186","mmm","glm",0.1,0.175,"2","8",100,0.9,0.7081,0.0051,2e-04,10000
"187","mmm","glm",0.1,0.2,"2","8",100,0,0.9981,0.0018,2e-04,10000
