"","Method","Model","Intercept","J","N","Correlation","FWERW","CorMat_Error","No_simulations"
"196","mmm","glm",0.0625,3,400,0,0.0417,0,10000
"197","mmm","glm",0.0625,3,400,0.5,0.0418,0,10000
"198","mmm","glm",0.0625,3,400,0.9,0.0444,0,10000
"199","mmm","glm",0.0625,5,100,0,0.0054,0.0138,10000
"200","mmm","glm",0.0625,5,100,0.5,0.0057,0.0146,10000
"201","mmm","glm",0.0625,5,100,0.9,0.0134,0.0089,10000
"202","mmm","glm",0.0625,5,200,0,0.0182,2e-04,10000
"203","mmm","glm",0.0625,5,200,0.5,0.0216,3e-04,10000
"204","mmm","glm",0.0625,5,200,0.9,0.0308,1e-04,10000
"205","mmm","glm",0.0625,5,400,0,0.0388,0,10000
"206","mmm","glm",0.0625,5,400,0.5,0.0363,0,10000
"207","mmm","glm",0.0625,5,400,0.9,0.0448,0,10000
"208","mmm","glm",0.0625,10,100,0,0.0018,0.0287,10000
"209","mmm","glm",0.0625,10,100,0.5,0.0031,0.0228,10000
"210","mmm","glm",0.0625,10,100,0.9,0.0097,0.011,10000
"211","mmm","glm",0.0625,10,200,0,0.0149,0,10000
"212","mmm","glm",0.0625,10,200,0.5,0.0181,1e-04,10000
"213","mmm","glm",0.0625,10,200,0.9,0.029,1e-04,10000
"214","mmm","glm",0.0625,10,400,0,0.03,0,10000
"215","mmm","glm",0.0625,10,400,0.5,0.0342,0,10000
"216","mmm","glm",0.0625,10,400,0.9,0.0434,0,10000
"217","mmm","glm",0.125,3,100,0,0.0271,0,10000
"218","mmm","glm",0.125,3,100,0.5,0.029,0,10000
"219","mmm","glm",0.125,3,100,0.9,0.0322,3e-04,10000
"220","mmm","glm",0.125,3,200,0,0.0405,0,10000
"221","mmm","glm",0.125,3,200,0.5,0.0393,0,10000
"222","mmm","glm",0.125,3,200,0.9,0.0458,0,10000
"223","mmm","glm",0.125,3,400,0,0.046,0,10000
"224","mmm","glm",0.125,3,400,0.5,0.0504,0,10000
"225","mmm","glm",0.125,3,400,0.9,0.0451,0,10000
"226","mmm","glm",0.125,5,100,0,0.0209,1e-04,10000
"227","mmm","glm",0.125,5,100,0.5,0.0246,2e-04,10000
"228","mmm","glm",0.125,5,100,0.9,0.0338,0,10000
"229","mmm","glm",0.125,5,200,0,0.034,0,10000
"230","mmm","glm",0.125,5,200,0.5,0.0364,0,10000
"231","mmm","glm",0.125,5,200,0.9,0.0413,0,10000
"232","mmm","glm",0.125,5,400,0,0.0432,0,10000
"233","mmm","glm",0.125,5,400,0.5,0.0424,0,10000
"234","mmm","glm",0.125,5,400,0.9,0.0447,0,10000
"235","mmm","glm",0.125,10,100,0,0.0161,2e-04,10000
"236","mmm","glm",0.125,10,100,0.5,0.0193,2e-04,10000
"237","mmm","glm",0.125,10,100,0.9,0.0302,0,10000
"238","mmm","glm",0.125,10,200,0,0.0348,0,10000
"239","mmm","glm",0.125,10,200,0.5,0.036,0,10000
"240","mmm","glm",0.125,10,200,0.9,0.0422,0,10000
"241","mmm","glm",0.125,10,400,0,0.0412,0,10000
"242","mmm","glm",0.125,10,400,0.5,0.0449,0,10000
"243","mmm","glm",0.125,10,400,0.9,0.0463,0,10000
"244","mmm","glm",0.25,3,100,0,0.0388,0,10000
"245","mmm","glm",0.25,3,100,0.5,0.0386,0,10000
"246","mmm","glm",0.25,3,100,0.9,0.0453,0,10000
"247","mmm","glm",0.25,3,200,0,0.0459,0,10000
"248","mmm","glm",0.25,3,200,0.5,0.0474,0,10000
"249","mmm","glm",0.25,3,200,0.9,0.0443,0,10000
"250","mmm","glm",0.25,3,400,0,0.0495,0,10000
"251","mmm","glm",0.25,3,400,0.5,0.0475,0,10000
"252","mmm","glm",0.25,3,400,0.9,0.0478,0,10000
"253","mmm","glm",0.25,5,100,0,0.0371,0,10000
"254","mmm","glm",0.25,5,100,0.5,0.0354,0,10000
"255","mmm","glm",0.25,5,100,0.9,0.0433,0,10000
"256","mmm","glm",0.25,5,200,0,0.042,0,10000
"257","mmm","glm",0.25,5,200,0.5,0.0483,0,10000
"258","mmm","glm",0.25,5,200,0.9,0.0474,0,10000
"259","mmm","glm",0.25,5,400,0,0.0456,0,10000
"260","mmm","glm",0.25,5,400,0.5,0.0484,0,10000
"261","mmm","glm",0.25,5,400,0.9,0.0483,0,10000
"262","mmm","glm",0.25,10,100,0,0.028,0,10000
"263","mmm","glm",0.25,10,100,0.5,0.037,0,10000
"264","mmm","glm",0.25,10,100,0.9,0.0406,0,10000
"265","mmm","glm",0.25,10,200,0,0.0403,0,10000
"266","mmm","glm",0.25,10,200,0.5,0.0448,0,10000
"267","mmm","glm",0.25,10,200,0.9,0.0462,0,10000
"268","mmm","glm",0.25,10,400,0,0.0434,0,10000
"269","mmm","glm",0.25,10,400,0.5,0.0449,0,10000
"270","mmm","glm",0.25,10,400,0.9,0.0489,0,10000
"271","mmm","glm",0.375,3,100,0,0.0396,0,10000
"272","mmm","glm",0.375,3,100,0.5,0.0472,0,10000
"273","mmm","glm",0.375,3,100,0.9,0.0474,0,10000
"274","mmm","glm",0.375,3,200,0,0.0469,0,10000
"275","mmm","glm",0.375,3,200,0.5,0.0506,0,10000
"276","mmm","glm",0.375,3,200,0.9,0.0476,0,10000
"277","mmm","glm",0.375,3,400,0,0.0494,0,10000
"278","mmm","glm",0.375,3,400,0.5,0.0496,0,10000
"279","mmm","glm",0.375,3,400,0.9,0.0496,0,10000
"280","mmm","glm",0.375,5,100,0,0.0401,0,10000
"281","mmm","glm",0.375,5,100,0.5,0.0453,0,10000
"282","mmm","glm",0.375,5,100,0.9,0.0459,0,10000
"283","mmm","glm",0.375,5,200,0,0.047,0,10000
"284","mmm","glm",0.375,5,200,0.5,0.0468,0,10000
"285","mmm","glm",0.375,5,200,0.9,0.0453,0,10000
"286","mmm","glm",0.375,5,400,0,0.0458,0,10000
"287","mmm","glm",0.375,5,400,0.5,0.0478,0,10000
"288","mmm","glm",0.375,5,400,0.9,0.0455,0,10000
"289","mmm","glm",0.375,10,100,0,0.0384,0,10000
"290","mmm","glm",0.375,10,100,0.5,0.0385,0,10000
"291","mmm","glm",0.375,10,100,0.9,0.0446,0,10000
"292","mmm","glm",0.375,10,200,0,0.0407,0,10000
"293","mmm","glm",0.375,10,200,0.5,0.0434,0,10000
"294","mmm","glm",0.375,10,200,0.9,0.0477,0,10000
"295","mmm","glm",0.375,10,400,0,0.0465,0,10000
"296","mmm","glm",0.375,10,400,0.5,0.0457,0,10000
"297","mmm","glm",0.375,10,400,0.9,0.0468,0,10000
"298","mmm","glm",0.5,3,100,0,0.0435,0,10000
"299","mmm","glm",0.5,3,100,0.5,0.0448,0,10000
"300","mmm","glm",0.5,3,100,0.9,0.0452,0,10000
"301","mmm","glm",0.5,3,200,0,0.046,0,10000
"302","mmm","glm",0.5,3,200,0.5,0.0493,0,10000
"303","mmm","glm",0.5,3,200,0.9,0.0473,0,10000
"304","mmm","glm",0.5,3,400,0,0.0511,0,10000
"305","mmm","glm",0.5,3,400,0.5,0.0482,0,10000
"306","mmm","glm",0.5,3,400,0.9,0.0541,0,10000
"307","mmm","glm",0.5,5,100,0,0.0429,0,10000
"308","mmm","glm",0.5,5,100,0.5,0.0423,0,10000
