"method","model","nsim","ntrt","pi0","nep_h0","nep_ha","slope","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor"
"bt","bglm",167,50,0.1,8,2,0.025,0,0,0,8,7,160,8,8,0
"bt","bglm",167,100,0.1,8,2,0.025,0,0,0,4,3,164,7,7,0
"bt","bglm",167,25,0.1,2,8,0.025,0,0,0,5,5,162,19,17,0
"bt","bglm",167,50,0.1,2,8,0.025,0,0,0,2,2,165,16,16,0
"bt","bglm",167,100,0.1,2,8,0.025,0,0,0,1,1,166,24,20,0
"bt","bglm",167,25,0.1,8,2,0.05,0,0,0,4,4,163,5,5,0
"bt","bglm",167,50,0.1,8,2,0.05,0,0,0,11,11,156,12,11,1
"bt","bglm",167,100,0.1,8,2,0.05,0,0,0,8,8,159,30,29,1
"bt","bglm",167,25,0.1,2,8,0.05,0,0,0,3,3,164,32,30,0
"bt","bglm",167,50,0.1,2,8,0.05,0,0,0,3,3,164,55,46,0
"bt","bglm",167,100,0.1,2,8,0.05,0,0,0,1,1,166,119,93,0
"bt","bglm",167,25,0.1,8,2,0.075,0,0,0,2,2,165,18,17,1
"bt","bglm",167,50,0.1,8,2,0.075,0,0,0,7,7,160,19,19,0
"bt","bglm",167,100,0.1,8,2,0.075,0,0,0,8,8,159,92,77,15
"bt","bglm",167,25,0.1,2,8,0.075,0,0,0,1,1,166,76,60,0
"bt","bglm",167,50,0.1,2,8,0.075,0,0,0,1,1,166,139,97,0
"bt","bglm",167,100,0.1,2,8,0.075,0,0,0,3,3,164,292,140,0
"bt","bglm",167,25,0.1,8,2,0.1,0,0,0,2,2,165,41,39,2
"bt","bglm",167,50,0.1,8,2,0.1,0,0,0,6,6,161,79,72,7
"bt","bglm",167,100,0.1,8,2,0.1,0,0,0,6,6,161,176,130,46
"bt","bglm",167,25,0.1,2,8,0.1,0,0,0,2,2,165,142,99,0
"bt","bglm",167,50,0.1,2,8,0.1,0,0,0,1,1,166,304,144,0
"bt","bglm",167,100,0.1,2,8,0.1,0,0,0,0,0,167,701,163,2
"bt","bglm",167,25,0.1,8,2,0.125,0,0,0,9,9,158,74,70,4
"bt","bglm",167,50,0.1,8,2,0.125,0,0,0,6,6,161,142,111,31
"bt","bglm",167,100,0.1,8,2,0.125,0,0,0,6,6,161,273,159,114
"bt","bglm",167,25,0.1,2,8,0.125,0,0,0,1,1,166,254,140,0
"bt","bglm",167,50,0.1,2,8,0.125,0,0,0,1,1,166,591,167,0
"bt","bglm",167,100,0.1,2,8,0.125,0,0,0,1,1,166,1082,167,22
"bt","bglm",167,25,0.1,8,2,0.15,0,0,0,8,8,159,135,108,27
"bt","bglm",167,50,0.1,8,2,0.15,0,0,0,6,6,161,235,152,83
"bt","bglm",167,100,0.1,8,2,0.15,0,0,0,10,9,158,324,167,157
