"method","model","nsim","pis","nresp","ntrt","corr","nfail","nerror","nreji","nrej"
"bt","bglm",209,0.01,3,25,0.9,0,0,4,10
"bt","bglm",209,0.0625,3,25,0.9,0,0,8,15
"bt","bglm",209,0.125,3,25,0.9,0,0,15,26
"bt","bglm",209,0.25,3,25,0.9,0,0,11,14
"bt","bglm",209,0.375,3,25,0.9,0,0,6,7
"bt","bglm",209,0.5,3,25,0.9,0,0,10,20
"bt","bglm",209,0.01,5,25,0.9,0,0,8,32
"bt","bglm",209,0.0625,5,25,0.9,0,0,14,42
"bt","bglm",209,0.125,5,25,0.9,0,0,11,18
"bt","bglm",209,0.25,5,25,0.9,0,0,16,51
"bt","bglm",209,0.375,5,25,0.9,0,0,10,27
"bt","bglm",209,0.5,5,25,0.9,0,0,13,24
"bt","bglm",209,0.01,10,25,0.9,0,0,4,34
"bt","bglm",209,0.0625,10,25,0.9,0,0,13,62
"bt","bglm",209,0.125,10,25,0.9,0,0,10,33
"bt","bglm",209,0.25,10,25,0.9,0,0,10,40
"bt","bglm",209,0.375,10,25,0.9,0,0,6,13
"bt","bglm",209,0.5,10,25,0.9,0,0,12,46
"bt","bglm",209,0.01,3,50,0.9,0,0,13,28
"bt","bglm",209,0.0625,3,50,0.9,0,0,8,17
"bt","bglm",209,0.125,3,50,0.9,0,0,11,21
"bt","bglm",209,0.25,3,50,0.9,0,0,13,24
"bt","bglm",209,0.375,3,50,0.9,0,0,11,18
"bt","bglm",209,0.5,3,50,0.9,0,0,12,18
"bt","bglm",209,0.01,5,50,0.9,0,0,9,38
"bt","bglm",209,0.0625,5,50,0.9,0,0,11,33
"bt","bglm",209,0.125,5,50,0.9,0,0,10,17
"bt","bglm",209,0.25,5,50,0.9,0,0,7,14
"bt","bglm",209,0.375,5,50,0.9,0,0,9,13
"bt","bglm",209,0.5,5,50,0.9,0,0,9,19
"bt","bglm",209,0.01,10,50,0.9,0,0,12,78
"bt","bglm",209,0.0625,10,50,0.9,0,0,9,39
"bt","bglm",209,0.125,10,50,0.9,0,0,14,49
"bt","bglm",209,0.25,10,50,0.9,0,0,11,35
"bt","bglm",209,0.375,10,50,0.9,0,0,9,40
"bt","bglm",209,0.5,10,50,0.9,0,0,8,19
"bt","bglm",209,0.01,3,100,0.9,0,0,10,25
"bt","bglm",209,0.0625,3,100,0.9,0,0,6,12
"bt","bglm",209,0.125,3,100,0.9,0,0,18,30
"bt","bglm",209,0.25,3,100,0.9,0,0,14,26
"bt","bglm",209,0.375,3,100,0.9,0,0,11,24
"bt","bglm",209,0.5,3,100,0.9,0,0,14,19
"bt","bglm",209,0.01,5,100,0.9,0,0,7,21
"bt","bglm",209,0.0625,5,100,0.9,0,0,9,15
"bt","bglm",209,0.125,5,100,0.9,0,0,6,16
"bt","bglm",209,0.25,5,100,0.9,0,0,6,14
"bt","bglm",209,0.375,5,100,0.9,0,0,7,17
"bt","bglm",209,0.5,5,100,0.9,0,0,11,30
"bt","bglm",209,0.01,10,100,0.9,0,0,14,67
"bt","bglm",209,0.0625,10,100,0.9,0,0,10,26
"bt","bglm",209,0.125,10,100,0.9,0,0,8,16
"bt","bglm",209,0.25,10,100,0.9,0,0,9,34
"bt","bglm",209,0.375,10,100,0.9,0,0,11,33
"bt","bglm",209,0.5,10,100,0.9,0,0,10,43
"bt","bglm",209,0.01,3,25,0,0,0,7,7
"bt","bglm",209,0.0625,3,25,0,0,0,11,11
"bt","bglm",209,0.125,3,25,0,0,0,12,12
"bt","bglm",209,0.25,3,25,0,0,0,14,15
"bt","bglm",209,0.375,3,25,0,0,0,10,10
"bt","bglm",209,0.5,3,25,0,0,0,5,5
"bt","bglm",209,0.01,5,25,0,0,0,6,6
"bt","bglm",209,0.0625,5,25,0,0,0,7,7
"bt","bglm",209,0.125,5,25,0,0,0,12,12
"bt","bglm",209,0.25,5,25,0,0,0,12,13
"bt","bglm",209,0.375,5,25,0,0,0,12,12
"bt","bglm",209,0.5,5,25,0,0,0,10,11
"bt","bglm",209,0.01,10,25,0,0,0,6,6
"bt","bglm",209,0.0625,10,25,0,0,0,9,9
"bt","bglm",209,0.125,10,25,0,0,0,10,10
"bt","bglm",209,0.25,10,25,0,0,0,9,9
"bt","bglm",209,0.375,10,25,0,0,0,10,10
"bt","bglm",209,0.5,10,25,0,0,0,15,15
"bt","bglm",209,0.01,3,50,0,0,0,11,11
"bt","bglm",209,0.0625,3,50,0,0,0,14,14
"bt","bglm",209,0.125,3,50,0,0,0,13,13
"bt","bglm",209,0.25,3,50,0,0,0,11,11
"bt","bglm",209,0.375,3,50,0,0,0,9,9
"bt","bglm",209,0.5,3,50,0,0,0,14,14
"bt","bglm",209,0.01,5,50,0,0,0,12,12
"bt","bglm",209,0.0625,5,50,0,0,0,15,15
"bt","bglm",209,0.125,5,50,0,0,0,10,10
"bt","bglm",209,0.25,5,50,0,0,0,13,13
"bt","bglm",209,0.375,5,50,0,0,0,11,11
"bt","bglm",209,0.5,5,50,0,0,0,10,11
"bt","bglm",209,0.01,10,50,0,0,0,9,9
"bt","bglm",209,0.0625,10,50,0,0,0,9,9
"bt","bglm",209,0.125,10,50,0,0,0,12,12
"bt","bglm",209,0.25,10,50,0,0,0,8,8
"bt","bglm",209,0.375,10,50,0,0,0,12,13
"bt","bglm",209,0.5,10,50,0,0,0,11,11
"bt","bglm",209,0.01,3,100,0,0,0,9,10
"bt","bglm",209,0.0625,3,100,0,0,0,12,12
"bt","bglm",209,0.125,3,100,0,0,0,8,8
"bt","bglm",209,0.25,3,100,0,0,0,8,8
"bt","bglm",209,0.375,3,100,0,0,0,8,8
"bt","bglm",209,0.5,3,100,0,0,0,9,9
"bt","bglm",209,0.01,5,100,0,0,0,9,9
"bt","bglm",209,0.0625,5,100,0,0,0,6,6
"bt","bglm",209,0.125,5,100,0,0,0,8,9
"bt","bglm",209,0.25,5,100,0,0,0,9,9
"bt","bglm",209,0.375,5,100,0,0,0,12,12
"bt","bglm",209,0.5,5,100,0,0,0,11,12
"bt","bglm",209,0.01,10,100,0,0,0,5,5
"bt","bglm",209,0.0625,10,100,0,0,0,6,6
"bt","bglm",209,0.125,10,100,0,0,0,9,9
"bt","bglm",209,0.25,10,100,0,0,0,15,15
"bt","bglm",209,0.375,10,100,0,0,0,8,8
"bt","bglm",209,0.5,10,100,0,0,0,8,8
"bt","bglm",209,0.01,3,25,0.5,0,0,8,12
"bt","bglm",209,0.0625,3,25,0.5,0,0,14,14
"bt","bglm",209,0.125,3,25,0.5,0,0,14,17
"bt","bglm",209,0.25,3,25,0.5,0,0,12,12
"bt","bglm",209,0.375,3,25,0.5,0,0,17,19
"bt","bglm",209,0.5,3,25,0.5,0,0,11,12
"bt","bglm",209,0.01,5,25,0.5,0,0,5,8
"bt","bglm",209,0.0625,5,25,0.5,0,0,8,14
"bt","bglm",209,0.125,5,25,0.5,0,0,10,13
"bt","bglm",209,0.25,5,25,0.5,0,0,9,9
"bt","bglm",209,0.375,5,25,0.5,0,0,7,9
"bt","bglm",209,0.5,5,25,0.5,0,0,7,7
"bt","bglm",209,0.01,10,25,0.5,0,0,7,22
"bt","bglm",209,0.0625,10,25,0.5,0,0,13,25
"bt","bglm",209,0.125,10,25,0.5,0,0,11,12
"bt","bglm",209,0.25,10,25,0.5,0,0,17,23
"bt","bglm",209,0.375,10,25,0.5,0,0,16,20
"bt","bglm",209,0.5,10,25,0.5,0,0,6,17
"bt","bglm",209,0.01,3,50,0.5,0,0,16,19
"bt","bglm",209,0.0625,3,50,0.5,0,0,17,22
"bt","bglm",209,0.125,3,50,0.5,0,0,10,11
"bt","bglm",209,0.25,3,50,0.5,0,0,10,12
"bt","bglm",209,0.375,3,50,0.5,0,0,12,14
"bt","bglm",209,0.5,3,50,0.5,0,0,11,11
"bt","bglm",209,0.01,5,50,0.5,0,0,4,6
"bt","bglm",209,0.0625,5,50,0.5,0,0,8,9
"bt","bglm",209,0.125,5,50,0.5,0,0,7,8
"bt","bglm",209,0.25,5,50,0.5,0,0,11,13
"bt","bglm",209,0.375,5,50,0.5,0,0,10,12
"bt","bglm",209,0.5,5,50,0.5,0,0,10,11
"bt","bglm",209,0.01,10,50,0.5,0,0,9,16
"bt","bglm",209,0.0625,10,50,0.5,0,0,3,4
"bt","bglm",209,0.125,10,50,0.5,0,0,12,14
"bt","bglm",209,0.25,10,50,0.5,0,0,15,20
"bt","bglm",209,0.375,10,50,0.5,0,0,14,18
"bt","bglm",209,0.5,10,50,0.5,0,0,15,17
"bt","bglm",209,0.01,3,100,0.5,0,0,9,10
"bt","bglm",209,0.0625,3,100,0.5,0,0,13,16
"bt","bglm",209,0.125,3,100,0.5,0,0,7,7
"bt","bglm",209,0.25,3,100,0.5,0,0,7,9
"bt","bglm",209,0.375,3,100,0.5,0,0,6,8
"bt","bglm",209,0.5,3,100,0.5,0,0,12,15
"bt","bglm",209,0.01,5,100,0.5,0,0,9,13
"bt","bglm",209,0.0625,5,100,0.5,0,0,11,12
"bt","bglm",209,0.125,5,100,0.5,0,0,15,17
"bt","bglm",209,0.25,5,100,0.5,0,0,9,10
"bt","bglm",209,0.375,5,100,0.5,0,0,7,7
"bt","bglm",209,0.5,5,100,0.5,0,0,12,15
"bt","bglm",209,0.01,10,100,0.5,0,0,18,33
"bt","bglm",209,0.0625,10,100,0.5,0,0,10,16
"bt","bglm",209,0.125,10,100,0.5,0,0,13,19
"bt","bglm",209,0.25,10,100,0.5,0,0,12,18
"bt","bglm",209,0.375,10,100,0.5,0,0,17,22
"bt","bglm",209,0.5,10,100,0.5,0,0,12,19
"bt","bglm",209,0.01,3,25,0.9,0,0,11,30
"bt","bglm",209,0.0625,3,25,0.9,0,0,9,15
"bt","bglm",209,0.125,3,25,0.9,0,0,11,17
"bt","bglm",209,0.25,3,25,0.9,0,0,7,9
"bt","bglm",209,0.375,3,25,0.9,0,0,11,13
"bt","bglm",209,0.5,3,25,0.9,0,0,8,16
"bt","bglm",209,0.01,5,25,0.9,0,0,3,11
"bt","bglm",209,0.0625,5,25,0.9,0,0,13,38
"bt","bglm",209,0.125,5,25,0.9,0,0,20,44
"bt","bglm",209,0.25,5,25,0.9,0,0,10,19
"bt","bglm",209,0.375,5,25,0.9,0,0,8,15
"bt","bglm",209,0.5,5,25,0.9,0,0,6,10
"bt","bglm",209,0.01,10,25,0.9,0,0,5,35
"bt","bglm",209,0.0625,10,25,0.9,0,0,12,56
"bt","bglm",209,0.125,10,25,0.9,0,0,10,17
"bt","bglm",209,0.25,10,25,0.9,0,0,9,36
"bt","bglm",209,0.375,10,25,0.9,0,0,9,33
"bt","bglm",209,0.5,10,25,0.9,0,0,10,30
"bt","bglm",209,0.01,3,50,0.9,0,0,8,19
"bt","bglm",209,0.0625,3,50,0.9,0,0,10,18
"bt","bglm",209,0.125,3,50,0.9,0,0,11,20
"bt","bglm",209,0.25,3,50,0.9,0,0,14,23
"bt","bglm",209,0.375,3,50,0.9,0,0,13,18
"bt","bglm",209,0.5,3,50,0.9,0,0,8,13
"bt","bglm",209,0.01,5,50,0.9,0,0,8,30
"bt","bglm",209,0.0625,5,50,0.9,0,0,13,36
"bt","bglm",209,0.125,5,50,0.9,0,0,9,23
"bt","bglm",209,0.25,5,50,0.9,0,0,13,37
"bt","bglm",209,0.375,5,50,0.9,0,0,9,20
"bt","bglm",209,0.5,5,50,0.9,0,0,11,28
"bt","bglm",209,0.01,10,50,0.9,0,0,13,96
"bt","bglm",209,0.0625,10,50,0.9,0,0,16,79
"bt","bglm",209,0.125,10,50,0.9,0,0,10,25
"bt","bglm",209,0.25,10,50,0.9,0,0,9,32
"bt","bglm",209,0.375,10,50,0.9,0,0,10,30
"bt","bglm",209,0.5,10,50,0.9,0,0,13,56
