"method","model","nsim","pis","nresp","ntrt","corr","nfail","nerror","nreji","nrej"
"bt","glm",185,0.5,3,50,0.9,0,0,12,16
"bt","glm",185,0.01,5,50,0.9,0,0,7,28
"bt","glm",185,0.0625,5,50,0.9,0,0,13,25
"bt","glm",185,0.125,5,50,0.9,0,0,7,13
"bt","glm",185,0.25,5,50,0.9,0,0,5,12
"bt","glm",185,0.375,5,50,0.9,0,0,13,27
"bt","glm",185,0.5,5,50,0.9,0,0,12,23
"bt","glm",185,0.01,10,50,0.9,0,0,1,8
"bt","glm",185,0.0625,10,50,0.9,0,0,5,14
"bt","glm",185,0.125,10,50,0.9,0,0,11,20
"bt","glm",185,0.25,10,50,0.9,0,0,13,44
"bt","glm",185,0.375,10,50,0.9,0,0,10,43
"bt","glm",185,0.5,10,50,0.9,0,0,13,39
"bt","glm",185,0.01,3,100,0.9,0,0,7,14
"bt","glm",185,0.0625,3,100,0.9,0,0,12,19
"bt","glm",185,0.125,3,100,0.9,0,0,6,12
"bt","glm",185,0.25,3,100,0.9,0,0,10,13
"bt","glm",185,0.375,3,100,0.9,0,0,11,17
"bt","glm",185,0.5,3,100,0.9,0,0,12,19
"bt","glm",185,0.01,5,100,0.9,0,0,8,21
"bt","glm",185,0.0625,5,100,0.9,0,0,6,11
"bt","glm",185,0.125,5,100,0.9,0,0,6,16
"bt","glm",185,0.25,5,100,0.9,0,0,5,6
"bt","glm",185,0.375,5,100,0.9,0,0,12,30
"bt","glm",185,0.5,5,100,0.9,0,0,5,13
"bt","glm",185,0.01,10,100,0.9,0,0,7,37
"bt","glm",185,0.0625,10,100,0.9,0,0,9,31
"bt","glm",185,0.125,10,100,0.9,0,0,7,35
"bt","glm",185,0.25,10,100,0.9,0,0,11,35
"bt","glm",185,0.375,10,100,0.9,0,0,8,24
"bt","glm",185,0.5,10,100,0.9,0,0,11,45
"bt","glm",185,0.01,3,25,0,0,0,1,1
"bt","glm",185,0.0625,3,25,0,0,0,9,9
"bt","glm",185,0.125,3,25,0,0,0,9,9
"bt","glm",185,0.25,3,25,0,0,0,8,8
"bt","glm",185,0.375,3,25,0,0,0,11,11
"bt","glm",185,0.5,3,25,0,0,0,8,8
"bt","glm",185,0.01,5,25,0,0,0,4,4
"bt","glm",185,0.0625,5,25,0,0,0,8,9
"bt","glm",185,0.125,5,25,0,0,0,6,6
"bt","glm",185,0.25,5,25,0,0,0,12,12
"bt","glm",185,0.375,5,25,0,0,0,4,4
