"method","model","nsim","ntrt","pi0","nep_h0","nep_ha","slope","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor"
"bonf","glm",10000,100,0.1,8,2,0.175,0.5,0,0,240,205,9795,19854,9991,9863
"bonf","glm",10000,25,0.1,2,8,0.175,0.5,0,0,19,18,9982,31289,8050,565
"bonf","glm",10000,50,0.1,2,8,0.175,0.5,0,0,47,46,9954,65470,9896,4466
"bonf","glm",10000,100,0.1,2,8,0.175,0.5,0,0,79,77,9923,79554,10000,9652
"bonf","glm",10000,25,0.1,8,2,0.2,0.5,0,0,77,65,9935,11542,7413,4129
"bonf","glm",10000,50,0.1,8,2,0.2,0.5,0,0,203,173,9827,18893,9866,9027
"bonf","glm",10000,100,0.1,8,2,0.2,0.5,0,0,280,225,9775,19997,10000,9997
"bonf","glm",10000,25,0.1,2,8,0.2,0.5,0,0,18,18,9982,46866,9284,1577
"bonf","glm",10000,50,0.1,2,8,0.2,0.5,0,0,57,55,9945,75494,9991,7645
"bonf","glm",10000,100,0.1,2,8,0.2,0.5,0,0,67,64,9936,79980,10000,9982
"bonf","glm",10000,25,0.1,8,2,0.001,0.9,0,0,94,31,9969,17,12,5
"bonf","glm",10000,50,0.1,8,2,0.001,0.9,0,0,207,74,9926,46,39,7
"bonf","glm",10000,100,0.1,8,2,0.001,0.9,0,0,378,130,9870,64,53,11
"bonf","glm",10000,25,0.1,2,8,0.001,0.9,0,0,22,15,9985,80,23,2
"bonf","glm",10000,50,0.1,2,8,0.001,0.9,0,0,47,38,9962,154,71,1
"bonf","glm",10000,100,0.1,2,8,0.001,0.9,0,0,63,48,9952,313,120,3
"bonf","glm",10000,25,0.1,8,2,0.025,0.9,0,0,71,28,9972,56,44,12
"bonf","glm",10000,50,0.1,8,2,0.025,0.9,0,0,195,83,9917,148,105,43
"bonf","glm",10000,100,0.1,8,2,0.025,0.9,0,0,257,112,9888,263,195,68
"bonf","glm",10000,25,0.1,2,8,0.025,0.9,0,0,32,23,9977,205,86,1
"bonf","glm",10000,50,0.1,2,8,0.025,0.9,0,0,46,38,9962,598,194,10
"bonf","glm",10000,100,0.1,2,8,0.025,0.9,0,0,58,46,9954,982,337,21
"bonf","glm",10000,25,0.1,8,2,0.05,0.9,0,0,100,32,9968,181,130,51
"bonf","glm",10000,50,0.1,8,2,0.05,0.9,0,0,222,85,9915,484,343,141
"bonf","glm",10000,100,0.1,8,2,0.05,0.9,0,0,281,107,9893,1226,820,406
"bonf","glm",10000,25,0.1,2,8,0.05,0.9,0,0,16,11,9989,719,223,16
"bonf","glm",10000,50,0.1,2,8,0.05,0.9,0,0,34,28,9972,2052,575,67
"bonf","glm",10000,100,0.1,2,8,0.05,0.9,0,0,105,74,9926,4575,1178,182
"bonf","glm",10000,25,0.1,8,2,0.075,0.9,0,0,69,28,9972,448,317,131
"bonf","glm",10000,50,0.1,8,2,0.075,0.9,0,0,223,85,9915,1391,923,468
"bonf","glm",10000,100,0.1,8,2,0.075,0.9,0,0,308,124,9876,3948,2456,1492
"bonf","glm",10000,25,0.1,2,8,0.075,0.9,0,0,33,22,9978,1670,489,47
"bonf","glm",10000,50,0.1,2,8,0.075,0.9,0,0,52,42,9958,5773,1424,240
"bonf","glm",10000,100,0.1,2,8,0.075,0.9,0,0,58,45,9955,15456,3279,834
"bonf","glm",10000,25,0.1,8,2,0.1,0.9,0,0,73,24,9976,1074,711,363
"bonf","glm",10000,50,0.1,8,2,0.1,0.9,0,0,219,83,9917,3549,2239,1310
"bonf","glm",10000,100,0.1,8,2,0.1,0.9,0,0,285,130,9870,9064,5236,3828
"bonf","glm",10000,25,0.1,2,8,0.1,0.9,0,0,18,12,9988,4408,1127,161
"bonf","glm",10000,50,0.1,2,8,0.1,0.9,0,0,46,31,9969,13867,3007,725
"bonf","glm",10000,100,0.1,2,8,0.1,0.9,0,0,78,61,9939,36941,6328,2819
"bonf","glm",10000,25,0.1,8,2,0.125,0.9,0,0,65,27,9973,2410,1559,851
"bonf","glm",10000,50,0.1,8,2,0.125,0.9,0,0,214,79,9921,7172,4232,2940
"bonf","glm",10000,100,0.1,8,2,0.125,0.9,0,0,306,116,9884,15268,8221,7047
"bonf","glm",10000,25,0.1,2,8,0.125,0.9,0,0,16,12,9988,10252,2306,493
"bonf","glm",10000,50,0.1,2,8,0.125,0.9,0,0,49,37,9963,28819,5277,2005
"bonf","glm",10000,100,0.1,2,8,0.125,0.9,0,0,72,55,9945,60403,8765,5952
"bonf","glm",10000,25,0.1,8,2,0.15,0.9,0,0,77,31,9969,4624,2816,1808
"bonf","glm",10000,50,0.1,8,2,0.15,0.9,0,0,188,72,9928,11889,6620,5269
"bonf","glm",10000,100,0.1,8,2,0.15,0.9,0,0,283,108,9892,18885,9647,9238
"bonf","glm",10000,25,0.1,2,8,0.15,0.9,0,0,36,28,9972,18991,3799,1111
