"","method","model","nsim","ntrt","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor","X"
"117","bonf","glm",1000,25,0.5,0,0,11,11,989,0,0,0,57
"118","bt","glm",1000,25,0.5,0,0,47,41,959,0,0,0,58
"119","bonf","bglm",1000,25,0.5,0,0,12,12,988,0,0,0,59
"120","bt","bglm",1000,25,0.5,0,0,33,32,968,0,0,0,60
"121","bonf","glm",1000,50,0.5,0,0,17,16,984,0,0,0,61
"122","bt","glm",1000,50,0.5,0,0,56,48,952,0,0,0,62
"123","bonf","bglm",1000,50,0.5,0,0,19,17,983,0,0,0,63
"124","bt","bglm",1000,50,0.5,0,0,54,50,950,0,0,0,64
"125","bonf","glm",1000,25,0.9,0,0,11,9,991,0,0,0,65
"126","bt","glm",1000,25,0.9,0,0,75,48,952,0,0,0,66
"127","bonf","bglm",1000,25,0.9,0,0,5,5,995,0,0,0,67
"128","bt","bglm",1000,25,0.9,0,0,49,38,962,0,0,0,68
"129","bonf","glm",1000,50,0.9,0,0,16,13,987,0,0,0,69
"130","bt","glm",1000,50,0.9,0,0,67,48,952,0,0,0,70
"131","bonf","bglm",1000,50,0.9,0,0,16,11,989,0,0,0,71
"132","bt","bglm",1000,50,0.9,0,0,79,49,951,0,0,0,72
"133","bonf","glm",1000,25,0,0,0,10,9,991,0,0,0,73
"134","bt","glm",1000,25,0,0,0,70,62,938,0,0,0,74
"135","bonf","bglm",1000,25,0,0,0,6,6,994,0,0,0,75
"136","bt","bglm",1000,25,0,0,0,55,50,950,0,0,0,76
"137","bonf","glm",1000,50,0,0,0,18,18,982,0,0,0,77
"138","bt","glm",1000,50,0,0,0,61,50,950,0,0,0,78
"139","bonf","bglm",1000,50,0,0,0,13,13,987,0,0,0,79
"140","bt","bglm",1000,50,0,0,0,29,26,974,0,0,0,80
"141","bonf","glm",1000,25,0.5,0,0,20,17,983,0,0,0,81
"142","bt","glm",1000,25,0.5,0,0,61,52,948,0,0,0,82
"143","bonf","bglm",1000,25,0.5,0,0,7,7,993,0,0,0,83
"144","bt","bglm",1000,25,0.5,0,0,35,34,966,0,0,0,84
"145","bonf","glm",1000,50,0.5,0,0,21,19,981,0,0,0,85
"146","bt","glm",1000,50,0.5,0,0,69,63,937,0,0,0,86
"147","bonf","bglm",1000,50,0.5,0,0,12,11,989,0,0,0,87
"148","bt","bglm",1000,50,0.5,0,0,60,54,946,0,0,0,88
"149","bonf","glm",1000,25,0.9,0,0,14,10,990,0,0,0,89
"150","bt","glm",1000,25,0.9,0,0,86,56,944,0,0,0,90
"151","bonf","bglm",1000,25,0.9,0,0,9,8,992,0,0,0,91
"152","bt","bglm",1000,25,0.9,0,0,51,39,961,0,0,0,92
"153","bonf","glm",1000,50,0.9,0,0,26,16,984,0,0,0,93
"154","bt","glm",1000,50,0.9,0,0,89,56,944,0,0,0,94
"155","bonf","bglm",1000,50,0.9,0,0,8,6,994,0,0,0,95
"156","bt","bglm",1000,50,0.9,0,0,57,43,957,0,0,0,96
"157","bonf","glm",1000,25,0,0,0,13,13,987,0,0,0,97
"158","bt","glm",1000,25,0,0,0,64,60,940,0,0,0,98
"159","bonf","bglm",1000,25,0,0,0,8,8,992,0,0,0,99
"160","bt","bglm",1000,25,0,0,0,41,35,965,0,0,0,100
