"method","model","ntrt","corr","nsim","rej_p","reji_p","rejcor_p","pow_p","powi_p","powcor_p","error_p","fail_p","setting","N","cor"
"bonf","glm",25,0,10002,0.00379924015196961,0.00379924015196961,0.99620075984803,0.0001999600079984,0.0001999600079984,0,1,0,"h02_04_ha8_002_d02",100,0
"bonf","glm",25,0.5,10002,0.00469906018796241,0.00449910017996401,0.995500899820036,0,0,0,1,0,"h02_04_ha8_002_d02",100,0.5
"bonf","glm",25,0.9,10002,0.0031993601279744,0.0026994601079784,0.997300539892022,0,0,0,1,0,"h02_04_ha8_002_d02",100,0.9
"bonf","glm",50,0,10002,0.00829834033193361,0.00789842031593681,0.992101579684063,0.109178164367127,0.103679264147171,0,1,0,"h02_04_ha8_002_d02",200,0
"bonf","glm",50,0.5,10002,0.00909818036392721,0.00809838032393521,0.991901619676065,0.105578884223155,0.0709858028394321,0,1,0,"h02_04_ha8_002_d02",200,0.5
"bonf","glm",50,0.9,10002,0.00679864027194561,0.00479904019196161,0.995200959808038,0.114777044591082,0.0300939812037592,0,1,0,"h02_04_ha8_002_d02",200,0.9
"bt","bglm",25,0,10002,0.0387922415516897,0.0354929014197161,0.964507098580284,1.53609278144371,0.816836632673465,0,1,0,"h02_04_ha8_002_d02",100,0
"bt","bglm",25,0.5,10002,0.0407918416316737,0.0358928214357129,0.964107178564287,1.58928214357129,0.548190361927615,0,1,0,"h02_04_ha8_002_d02",100,0.5
"bt","bglm",25,0.9,10002,0.0547890421915617,0.0361927614477105,0.96380723855229,2.13667266546691,0.368226354729054,0,1,0,"h02_04_ha8_002_d02",100,0.9
"bt","bglm",50,0,10002,0.0397920415916817,0.0357928414317137,0.964207158568286,5.57038592281544,1,0,1,0,"h02_04_ha8_002_d02",200,0
"bt","bglm",50,0.5,10002,0.0428914217156569,0.0361927614477105,0.96380723855229,5.63247350529894,0.967406518696261,0,1,0,"h02_04_ha8_002_d02",200,0.5
"bt","bglm",50,0.9,10002,0.0580883823235353,0.0389922015596881,0.961007798440312,6.13357328534293,0.873225354929014,0,1,0,"h02_04_ha8_002_d02",200,0.9
"bt","glm",25,0,10002,0.0604879024195161,0.0551889622075585,0.944811037792441,0.0696860627874425,0.0674865026994601,0,1,0,"h02_04_ha8_002_d02",100,0
"bt","glm",25,0.5,10002,0.0607878424315137,0.0520895820835833,0.947910417916417,0.0689862027594481,0.0488902219556089,0,1,0,"h02_04_ha8_002_d02",100,0.5
"bt","glm",25,0.9,10002,0.0830833833233353,0.0551889622075585,0.944811037792441,0.115876824635073,0.025994801039792,0,1,0,"h02_04_ha8_002_d02",100,0.9
"bt","glm",50,0,10002,0.0586882623475305,0.0529894021195761,0.947010597880424,1.56058788242352,0.821835632873425,0,1,0,"h02_04_ha8_002_d02",200,0
"bt","glm",50,0.5,10002,0.0599880023995201,0.0506898620275945,0.949310137972405,1.68036392721456,0.59628074385123,0,1,0,"h02_04_ha8_002_d02",200,0.5
"bt","glm",50,0.9,10002,0.0775844831033793,0.0508898220355929,0.949110177964407,2.23235352929414,0.389322135572885,0,1,0,"h02_04_ha8_002_d02",200,0.9
"mmm","bglm",25,0,10002,0.00419916016796641,0.00419916016796641,0.995800839832034,0.0707858428314337,0.0694861027794441,0,1,0,"h02_04_ha8_002_d02",100,0
"mmm","bglm",25,0.5,10002,0.00529894021195761,0.00509898020395921,0.994901019796041,0.149470105978804,0.0943811237752449,0,1,0,"h02_04_ha8_002_d02",100,0.5
"mmm","bglm",25,0.9,10002,0.0141971605678864,0.00999800039992002,0.99000199960008,0.456508698260348,0.0939812037592481,0,1,0,"h02_04_ha8_002_d02",100,0.9
"mmm","bglm",50,0,10002,0.00499900019996001,0.00489902019596081,0.995100979804039,2.0878824235153,0.905918816236753,0,1,0,"h02_04_ha8_002_d02",200,0
"mmm","bglm",50,0.5,10002,0.00939812037592481,0.00849830033993201,0.991501699660068,2.59688062387522,0.723955208958208,0,1,0,"h02_04_ha8_002_d02",200,0.5
"mmm","bglm",50,0.9,10002,0.017996400719856,0.0135972805438912,0.986402719456109,4.02179564087183,0.650269946010798,0,1,0,"h02_04_ha8_002_d02",200,0.9
"mmm","glm",25,0,10000,1e-04,1e-04,0.063,0,0,0,0.9369,0,"h02_04_ha8_002_d02",100,0
"mmm","glm",25,0.5,10000,8e-04,8e-04,0.1632,7e-04,6e-04,0,0.836,0,"h02_04_ha8_002_d02",100,0.5
"mmm","glm",25,0.9,10000,0.0074,0.0056,0.3792,0.0137,0.0033,4e-04,0.6152,0,"h02_04_ha8_002_d02",100,0.9
"mmm","glm",50,0,10000,0.0021,0.0021,0.263,0.0385,0.0357,0,0.7349,0,"h02_04_ha8_002_d02",200,0
"mmm","glm",50,0.5,10000,0.0029,0.0027,0.3714,0.1222,0.0622,2e-04,0.6259,0,"h02_04_ha8_002_d02",200,0.5
"mmm","glm",50,0.9,10000,0.0134,0.0093,0.5592,0.7243,0.1402,0.0345,0.4315,0,"h02_04_ha8_002_d02",200,0.9
"bonf","bglm",25,0,10002,0.00349930013997201,0.00349930013997201,0.996500699860028,0,0,0,1,0,"h02_04_ha8_002_s01",100,0
"bonf","bglm",25,0.5,10002,0.00339932013597281,0.00329934013197361,0.996700659868026,0,0,0,1,0,"h02_04_ha8_002_s01",100,0.5
"bonf","bglm",25,0.9,10002,0.0026994601079784,0.0020995800839832,0.997900419916017,0,0,0,1,0,"h02_04_ha8_002_s01",100,0.9
"bonf","bglm",50,0,10002,0.00399920015996801,0.00399920015996801,0.996000799840032,0,0,0,1,0,"h02_04_ha8_002_s01",200,0
"bonf","bglm",50,0.5,10002,0.00529894021195761,0.00479904019196161,0.995200959808038,0,0,0,1,0,"h02_04_ha8_002_s01",200,0.5
"bonf","bglm",50,0.9,10002,0.00339932013597281,0.0025994801039792,0.997400519896021,0,0,0,1,0,"h02_04_ha8_002_s01",200,0.9
"bonf","glm",25,0,10002,0.00389922015596881,0.00369926014797041,0.99630073985203,0,0,0,1,0,"h02_04_ha8_002_s01",100,0
"bonf","glm",25,0.5,10002,0.00369926014797041,0.00359928014397121,0.996400719856029,0,0,0,1,0,"h02_04_ha8_002_s01",100,0.5
"bonf","glm",25,0.9,10002,0.00489902019596081,0.00379924015196961,0.99620075984803,0,0,0,1,0,"h02_04_ha8_002_s01",100,0.9
"bonf","glm",50,0,10002,0.00799840031993601,0.00729854029194161,0.992701459708058,0,0,0,1,0,"h02_04_ha8_002_s01",200,0
"bonf","glm",50,0.5,10002,0.00849830033993201,0.00799840031993601,0.992001599680064,0,0,0,1,0,"h02_04_ha8_002_s01",200,0.5
"bonf","glm",50,0.9,10002,0.00879824035192961,0.00679864027194561,0.993201359728054,0,0,0,1,0,"h02_04_ha8_002_s01",200,0.9
"bt","bglm",25,0,10002,0.0376924615076985,0.0348930213957209,0.965106978604279,0,0,0,1,0,"h02_04_ha8_002_s01",100,0
"bt","bglm",25,0.5,10002,0.0420915816836633,0.0368926214757049,0.963107378524295,9.99800039992002e-05,9.99800039992002e-05,0,1,0,"h02_04_ha8_002_s01",100,0.5
"bt","bglm",25,0.9,10002,0.0580883823235353,0.0393921215756849,0.960607878424315,0,0,0,1,0,"h02_04_ha8_002_s01",100,0.9
"bt","bglm",50,0,10002,0.0381923615276945,0.0351929614077185,0.964807038592282,0.0002999400119976,0.0002999400119976,0,1,0,"h02_04_ha8_002_s01",200,0
"bt","bglm",50,0.5,10002,0.0453909218156369,0.0406918616276745,0.959308138372326,0.000399920015996801,0.0002999400119976,0,1,0,"h02_04_ha8_002_s01",200,0.5
"bt","bglm",50,0.9,10002,0.0665866826634673,0.0430913817236553,0.956908618276345,0.0011997600479904,0.000399920015996801,0,1,0,"h02_04_ha8_002_s01",200,0.9
"bt","glm",25,0,10002,0.0589882023595281,0.0525894821035793,0.947410517896421,0,0,0,1,0,"h02_04_ha8_002_s01",100,0
"bt","glm",25,0.5,10002,0.0572885422915417,0.0492901419716057,0.950709858028394,0,0,0,1,0,"h02_04_ha8_002_s01",100,0.5
"bt","glm",25,0.9,10002,0.0747850429914017,0.0475904819036193,0.952409518096381,0,0,0,1,0,"h02_04_ha8_002_s01",100,0.9
"bt","glm",50,0,10002,0.0573885222955409,0.0508898220355929,0.949110177964407,0,0,0,1,0,"h02_04_ha8_002_s01",200,0
"bt","glm",50,0.5,10002,0.0613877224555089,0.0534893021395721,0.946510697860428,0,0,0,1,0,"h02_04_ha8_002_s01",200,0.5
"bt","glm",50,0.9,10002,0.0780843831233753,0.0498900219956009,0.950109978004399,0,0,0,1,0,"h02_04_ha8_002_s01",200,0.9
"mmm","bglm",25,0,10002,0.00509898020395921,0.00489902019596081,0.995100979804039,0,0,0,1,0,"h02_04_ha8_002_s01",100,0
"mmm","bglm",25,0.5,10002,0.00679864027194561,0.00669866026794641,0.993301339732054,0,0,0,1,0,"h02_04_ha8_002_s01",100,0.5
"mmm","bglm",25,0.9,10002,0.0138972205558888,0.0103979204159168,0.989602079584083,0,0,0,1,0,"h02_04_ha8_002_s01",100,0.9
"mmm","bglm",50,0,10002,0.00609878024395121,0.00589882023595281,0.994101179764047,0,0,0,1,0,"h02_04_ha8_002_s01",200,0
"mmm","bglm",50,0.5,10002,0.00959808038392321,0.00929814037192562,0.990701859628074,0,0,0,1,0,"h02_04_ha8_002_s01",200,0.5
"mmm","bglm",50,0.9,10002,0.0213957208558288,0.0160967806438712,0.983903219356129,0.0001999600079984,9.99800039992002e-05,0,1,0,"h02_04_ha8_002_s01",200,0.9
"mmm","glm",25,0,10000,1e-04,1e-04,0.0757,0,0,0,0.9242,0,"h02_04_ha8_002_s01",100,0
"mmm","glm",25,0.5,10000,0.002,0.0018,0.2345,0,0,0,0.7637,0,"h02_04_ha8_002_s01",100,0.5
"mmm","glm",25,0.9,10000,0.0099,0.0068,0.5289,0,0,0,0.4643,0,"h02_04_ha8_002_s01",100,0.9
"mmm","glm",50,0,10000,8e-04,8e-04,0.108,0,0,0,0.8912,0,"h02_04_ha8_002_s01",200,0
"mmm","glm",50,0.5,10000,0.0032,0.0031,0.2773,0,0,0,0.7196,0,"h02_04_ha8_002_s01",200,0.5
"mmm","glm",50,0.9,10000,0.0137,0.01,0.5326,0,0,0,0.4574,0,"h02_04_ha8_002_s01",200,0.9
"bonf","bglm",25,0,10002,0.002999400119976,0.0028994201159768,0.997100579884023,0,0,0,1,0,"h02_04_ha8_002_s02",100,0
"bonf","bglm",25,0.5,10002,0.0031993601279744,0.002999400119976,0.997000599880024,0,0,0,1,0,"h02_04_ha8_002_s02",100,0.5
"bonf","bglm",25,0.9,10002,0.00399920015996801,0.0030993801239752,0.996900619876025,0,0,0,1,0,"h02_04_ha8_002_s02",100,0.9
"bonf","bglm",50,0,10002,0.00419916016796641,0.00419916016796641,0.995800839832034,0,0,0,1,0,"h02_04_ha8_002_s02",200,0
"bonf","bglm",50,0.5,10002,0.00579884023195361,0.00539892021595681,0.994601079784043,0,0,0,1,0,"h02_04_ha8_002_s02",200,0.5
"bonf","bglm",50,0.9,10002,0.00399920015996801,0.0031993601279744,0.996800639872026,0,0,0,1,0,"h02_04_ha8_002_s02",200,0.9
"bonf","glm",25,0,10002,0.00419916016796641,0.00379924015196961,0.99620075984803,0,0,0,1,0,"h02_04_ha8_002_s02",100,0
"bonf","glm",25,0.5,10002,0.00459908018396321,0.00409918016396721,0.995900819836033,0,0,0,1,0,"h02_04_ha8_002_s02",100,0.5
"bonf","glm",25,0.9,10002,0.00689862027594481,0.00479904019196161,0.995200959808038,0,0,0,1,0,"h02_04_ha8_002_s02",100,0.9
"bonf","glm",50,0,10002,0.00969806038792242,0.00909818036392721,0.990901819636073,0,0,0,1,0,"h02_04_ha8_002_s02",200,0
"bonf","glm",50,0.5,10002,0.00669866026794641,0.00629874025194961,0.99370125974805,0,0,0,1,0,"h02_04_ha8_002_s02",200,0.5
"bonf","glm",50,0.9,10002,0.00929814037192562,0.00629874025194961,0.99370125974805,0,0,0,1,0,"h02_04_ha8_002_s02",200,0.9
"bt","bglm",25,0,10002,0.0336932613477305,0.0318936212757448,0.968106378724255,0.0002999400119976,0.0002999400119976,0,1,0,"h02_04_ha8_002_s02",100,0
"bt","bglm",25,0.5,10002,0.0407918416316737,0.0345930813837233,0.965406918616277,0,0,0,1,0,"h02_04_ha8_002_s02",100,0.5
"bt","bglm",25,0.9,10002,0.0563887222555489,0.0357928414317137,0.964207158568286,0.000999800039992002,0.0002999400119976,0,1,0,"h02_04_ha8_002_s02",100,0.9
"bt","bglm",50,0,10002,0.0438912217556489,0.0406918616276745,0.959308138372326,0.0013997200559888,0.0013997200559888,0,1,0,"h02_04_ha8_002_s02",200,0
"bt","bglm",50,0.5,10002,0.0448910217956409,0.0392921415716857,0.960707858428314,0.0016996600679864,0.0013997200559888,0,1,0,"h02_04_ha8_002_s02",200,0.5
"bt","bglm",50,0.9,10002,0.0566886622675465,0.0393921215756849,0.960607878424315,0.0110977804439112,0.0026994601079784,0,1,0,"h02_04_ha8_002_s02",200,0.9
"bt","glm",25,0,10002,0.0615876824635073,0.0549890021995601,0.94501099780044,0,0,0,1,0,"h02_04_ha8_002_s02",100,0
"bt","glm",25,0.5,10002,0.0593881223755249,0.0504899020195961,0.949510097980404,0,0,0,1,0,"h02_04_ha8_002_s02",100,0.5
"bt","glm",25,0.9,10002,0.0840831833633273,0.0546890621875625,0.945310937812437,0,0,0,1,0,"h02_04_ha8_002_s02",100,0.9
"bt","glm",50,0,10002,0.0527894421115777,0.0489902019596081,0.951009798040392,0,0,0,1,0,"h02_04_ha8_002_s02",200,0
"bt","glm",50,0.5,10002,0.0610877824435113,0.0520895820835833,0.947910417916417,0,0,0,1,0,"h02_04_ha8_002_s02",200,0.5
"bt","glm",50,0.9,10002,0.0749850029994001,0.0484903019396121,0.951509698060388,0,0,0,1,0,"h02_04_ha8_002_s02",200,0.9
"mmm","bglm",25,0,10002,0.00379924015196961,0.00379924015196961,0.99620075984803,0,0,0,1,0,"h02_04_ha8_002_s02",100,0
"mmm","bglm",25,0.5,10002,0.00609878024395121,0.00559888022395521,0.994401119776045,0,0,0,1,0,"h02_04_ha8_002_s02",100,0.5
"mmm","bglm",25,0.9,10002,0.0132973405318936,0.00969806038792242,0.990301939612078,0,0,0,1,0,"h02_04_ha8_002_s02",100,0.9
"mmm","bglm",50,0,10002,0.00489902019596081,0.00459908018396321,0.995400919816037,0,0,0,1,0,"h02_04_ha8_002_s02",200,0
"mmm","bglm",50,0.5,10002,0.00899820035992801,0.00819836032793441,0.991801639672066,0,0,0,1,0,"h02_04_ha8_002_s02",200,0.5
"mmm","bglm",50,0.9,10002,0.0171965606878624,0.0127974405118976,0.987202559488102,0,0,0,1,0,"h02_04_ha8_002_s02",200,0.9
"mmm","glm",25,0,10000,2e-04,2e-04,0.0731,0,0,0,0.9267,0,"h02_04_ha8_002_s02",100,0
"mmm","glm",25,0.5,10000,5e-04,5e-04,0.1935,0,0,0,0.806,0,"h02_04_ha8_002_s02",100,0.5
"mmm","glm",25,0.9,10000,0.0123,0.0078,0.504,0,0,0,0.4882,0,"h02_04_ha8_002_s02",100,0.9
"mmm","glm",50,0,10000,8e-04,8e-04,0.1186,0,0,0,0.8806,0,"h02_04_ha8_002_s02",200,0
"mmm","glm",50,0.5,10000,0.0017,0.0016,0.2888,0,0,0,0.7096,0,"h02_04_ha8_002_s02",200,0.5
"mmm","glm",50,0.9,10000,0.0126,0.0086,0.5271,0,0,0,0.4643,0,"h02_04_ha8_002_s02",200,0.9
"bonf","bglm",25,0,10002,9.99800039992002e-05,9.99800039992002e-05,0.999900019996001,0.00939812037592481,0.00919816036792642,0.0001999600079984,0,0,"h08_01_ha2_04_d01",100,0
"bonf","bglm",25,0.5,10002,0,0,1,0.00839832033593281,0.00829834033193361,9.99800039992002e-05,0,0,"h08_01_ha2_04_d01",100,0.5
"bonf","bglm",25,0.9,10002,0,0,1,0.0117976404719056,0.00819836032793441,0.00339932013597281,0,0,"h08_01_ha2_04_d01",100,0.9
"bonf","bglm",50,0,10002,0.0002999400119976,0.0002999400119976,0.999700059988002,0.0231953609278144,0.0228954209158168,0.0002999400119976,0,0,"h08_01_ha2_04_d01",200,0
"bonf","bglm",50,0.5,10002,0.000499900019996001,0.000499900019996001,0.999500099980004,0.0240951809638072,0.0220955808838232,0.0017996400719856,0,0,"h08_01_ha2_04_d01",200,0.5
"bonf","bglm",50,0.9,10002,0.000699860027994401,0.000399920015996801,0.999600079984003,0.0215956808638272,0.0153969206158768,0.00529894021195761,0,0,"h08_01_ha2_04_d01",200,0.9
"bonf","glm",25,0,10002,0,0,1,0.0108978204359128,0.0103979204159168,0.000499900019996001,0,0,"h08_01_ha2_04_d01",100,0
"bonf","glm",25,0.5,10002,0,0,1,0.0107978404319136,0.0102979404119176,0.000499900019996001,0,0,"h08_01_ha2_04_d01",100,0.5
"bonf","glm",25,0.9,10002,0,0,1,0.0135972805438912,0.0102979404119176,0.00329934013197361,0,0,"h08_01_ha2_04_d01",100,0.9
"bonf","glm",50,0,10002,0,0,1,0.0345930813837233,0.0331933613277345,0.0011997600479904,0,0,"h08_01_ha2_04_d01",200,0
"bonf","glm",50,0.5,10002,0,0,1,0.0346930613877225,0.0315936812637473,0.0028994201159768,0,0,"h08_01_ha2_04_d01",200,0.5
"bonf","glm",50,0.9,10002,0,0,1,0.0356928614277145,0.0250949810037992,0.00849830033993201,0,0,"h08_01_ha2_04_d01",200,0.9
"bt","bglm",25,0,10002,0.0132973405318936,0.0131973605278944,0.986802639472106,0.0628874225154969,0.0590881823635273,0.00339932013597281,0,0,"h08_01_ha2_04_d01",100,0
"bt","bglm",25,0.5,10002,0.0102979404119176,0.00919816036792642,0.990801839632074,0.0723855228954209,0.0620875824835033,0.00799840031993601,0,0,"h08_01_ha2_04_d01",100,0.5
"bt","bglm",25,0.9,10002,0.0187962407518496,0.00769846030793841,0.992301539692062,0.102179564087183,0.0665866826634673,0.0276944611077784,0,0,"h08_01_ha2_04_d01",100,0.9
"bt","bglm",50,0,10002,0.022995400919816,0.0225954809038192,0.977404519096181,0.103079384123175,0.0976804639072186,0.00479904019196161,0,0,"h08_01_ha2_04_d01",200,0
"bt","bglm",50,0.5,10002,0.0250949810037992,0.0213957208558288,0.978604279144171,0.110877824435113,0.0934813037392521,0.0135972805438912,0,0,"h08_01_ha2_04_d01",200,0.5
"bt","bglm",50,0.9,10002,0.0407918416316737,0.015996800639872,0.984003199360128,0.140571885622875,0.0903819236152769,0.0378924215156969,0,0,"h08_01_ha2_04_d01",200,0.9
"bt","glm",25,0,10002,0.000899820035992801,0.000699860027994401,0.999300139972006,0.0915816836632673,0.0821835632873425,0.00779844031193761,0,0,"h08_01_ha2_04_d01",100,0
"bt","glm",25,0.5,10002,0.0002999400119976,0.0002999400119976,0.999700059988002,0.0940811837632474,0.0777844431113777,0.0115976804639072,0,0,"h08_01_ha2_04_d01",100,0.5
"bt","glm",25,0.9,10002,0.0016996600679864,0.000599880023995201,0.999400119976005,0.116576684663067,0.0747850429914017,0.0296940611877624,0,0,"h08_01_ha2_04_d01",100,0.9
"bt","glm",50,0,10002,0.00639872025594881,0.00589882023595281,0.994101179764047,0.122775444911018,0.110277944411118,0.0110977804439112,0,0,"h08_01_ha2_04_d01",200,0
"bt","glm",50,0.5,10002,0.00569886022795441,0.00469906018796241,0.995300939812038,0.127974405118976,0.106978604279144,0.0153969206158768,0,0,"h08_01_ha2_04_d01",200,0.5
"bt","glm",50,0.9,10002,0.016996600679864,0.00589882023595281,0.994101179764047,0.169266146770646,0.105478904219156,0.0424915016996601,0,0,"h08_01_ha2_04_d01",200,0.9
"mmm","bglm",25,0,10002,0,0,1,0.0102979404119176,0.0101979604079184,9.99800039992002e-05,0,0,"h08_01_ha2_04_d01",100,0
"mmm","bglm",25,0.5,10002,9.99800039992002e-05,9.99800039992002e-05,0.999900019996001,0.012997400519896,0.0115976804639072,0.0013997200559888,0,0,"h08_01_ha2_04_d01",100,0.5
"mmm","bglm",25,0.9,10002,0.0012997400519896,0.000499900019996001,0.999500099980004,0.0276944611077784,0.0202959408118376,0.00669866026794641,0,0,"h08_01_ha2_04_d01",100,0.9
"mmm","bglm",50,0,10002,0.000599880023995201,0.000599880023995201,0.999400119976005,0.0250949810037992,0.024495100979804,0.000599880023995201,0,0,"h08_01_ha2_04_d01",200,0
"mmm","bglm",50,0.5,10002,0.0010997800439912,0.000999800039992002,0.999000199960008,0.0368926214757049,0.0341931613677265,0.00249950009998,0,0,"h08_01_ha2_04_d01",200,0.5
"mmm","bglm",50,0.9,10002,0.00829834033193361,0.0030993801239752,0.996900619876025,0.0624875024995001,0.0435912817436513,0.0161967606478704,0,0,"h08_01_ha2_04_d01",200,0.9
"mmm","glm",25,0,10002,0,0,0.777844431113777,0.00999800039992002,0.00979804039192162,0.0001999600079984,0.222155568886223,0,"h08_01_ha2_04_d01",100,0
"mmm","glm",25,0.5,10002,0,0,0.815836832633473,0.00939812037592481,0.00869826034793041,0.000699860027994401,0.184163167366527,0,"h08_01_ha2_04_d01",100,0.5
"mmm","glm",25,0.9,10002,0.0001999600079984,9.99800039992002e-05,0.896020795840832,0.0331933613277345,0.0233953209358128,0.00799840031993601,0.103879224155169,0,"h08_01_ha2_04_d01",100,0.9
"mmm","glm",50,0,10002,0,0,0.981503699260148,0.0378924215156969,0.0357928414317137,0.0020995800839832,0.018496300739852,0,"h08_01_ha2_04_d01",200,0
"mmm","glm",50,0.5,10002,0.0002999400119976,0.0002999400119976,0.983503299340132,0.0398920215956809,0.0354929014197161,0.00439912017596481,0.0161967606478704,0,"h08_01_ha2_04_d01",200,0.5
"mmm","glm",50,0.9,10002,0.000699860027994401,0.0002999400119976,0.989602079584083,0.0651869626074785,0.0443911217756449,0.0157968406318736,0.0100979804039192,0,"h08_01_ha2_04_d01",200,0.9
"bonf","bglm",25,0,10002,0,0,1,0.0544891021795641,0.0534893021395721,0.000999800039992002,0,0,"h08_01_ha2_04_d02",100,0
"bonf","bglm",25,0.5,10002,0,0,1,0.0578884223155369,0.0528894221155769,0.00499900019996001,0,0,"h08_01_ha2_04_d02",100,0.5
"bonf","bglm",25,0.9,10002,0.0002999400119976,9.99800039992002e-05,0.999900019996001,0.0591881623675265,0.0405918816236753,0.0181963607278544,0,0,"h08_01_ha2_04_d02",100,0.9
"bonf","bglm",50,0,10002,0.000899820035992801,0.000899820035992801,0.999100179964007,0.200259948010398,0.189162167566487,0.0108978204359128,0,0,"h08_01_ha2_04_d02",200,0
"bonf","bglm",50,0.5,10002,0.000699860027994401,0.000699860027994401,0.999300139972006,0.199860027994401,0.168266346730654,0.0307938412317536,0,0,"h08_01_ha2_04_d02",200,0.5
"bonf","bglm",50,0.9,10002,0.0002999400119976,9.99800039992002e-05,0.999900019996001,0.195560887822436,0.128474305138972,0.0659868026394721,0,0,"h08_01_ha2_04_d02",200,0.9
"bonf","glm",25,0,10002,0,0,1,0.0625874825034993,0.0613877224555089,0.0011997600479904,0,0,"h08_01_ha2_04_d02",100,0
"bonf","glm",25,0.5,10002,0,0,1,0.0578884223155369,0.0514897020595881,0.00579884023195361,0,0,"h08_01_ha2_04_d02",100,0.5
"bonf","glm",25,0.9,10002,0,0,1,0.0565886822635473,0.0383923215356929,0.017996400719856,0,0,"h08_01_ha2_04_d02",100,0.9
"bonf","glm",50,0,10002,9.99800039992002e-05,9.99800039992002e-05,0.999900019996001,0.251149770045991,0.23255348930214,0.0173965206958608,0,0,"h08_01_ha2_04_d02",200,0
"bonf","glm",50,0.5,10002,0,0,1,0.243551289742052,0.202959408118376,0.0388922215556889,0,0,"h08_01_ha2_04_d02",200,0.5
"bonf","glm",50,0.9,10002,0,0,1,0.255548890221956,0.164567086582683,0.0891821635672865,0,0,"h08_01_ha2_04_d02",200,0.9
"bt","bglm",25,0,10002,0.0135972805438912,0.0135972805438912,0.986402719456109,0.228554289142172,0.210757848430314,0.015996800639872,0,0,"h08_01_ha2_04_d02",100,0
"bt","bglm",25,0.5,10002,0.0160967806438712,0.0126974605078984,0.987302539492102,0.233853229354129,0.18996200759848,0.0382923415316937,0,0,"h08_01_ha2_04_d02",100,0.5
"bt","bglm",25,0.9,10002,0.0232953409318136,0.00829834033193361,0.991701659668066,0.261747650469906,0.164667066586683,0.0853829234153169,0,0,"h08_01_ha2_04_d02",100,0.9
"bt","bglm",50,0,10002,0.0249950009998,0.023995200959808,0.976004799040192,0.502699460107978,0.435812837432513,0.0626874625074985,0,0,"h08_01_ha2_04_d02",200,0
"bt","bglm",50,0.5,10002,0.0266946610677864,0.0233953209358128,0.976604679064187,0.516696660667866,0.386722655468906,0.120575884823035,0,0,"h08_01_ha2_04_d02",200,0.5
"bt","bglm",50,0.9,10002,0.0463907218556289,0.0170965806838632,0.982903419316137,0.589282143571286,0.352029594081184,0.217756448710258,0,0,"h08_01_ha2_04_d02",200,0.9
"bt","glm",25,0,10002,0.000499900019996001,0.000399920015996801,0.999600079984003,0.253949210157968,0.225754849030194,0.0228954209158168,0,0,"h08_01_ha2_04_d02",100,0
"bt","glm",25,0.5,10002,0.000499900019996001,0.0002999400119976,0.999700059988002,0.258448310337932,0.206958608278344,0.0436912617476505,0,0,"h08_01_ha2_04_d02",100,0.5
"bt","glm",25,0.9,10002,0.0021995600879824,0.0001999600079984,0.999800039992002,0.345130973805239,0.206958608278344,0.106478704259148,0,0,"h08_01_ha2_04_d02",100,0.9
"bt","glm",50,0,10002,0.00579884023195361,0.00549890021995601,0.994501099780044,0.515896820635873,0.438612277544491,0.0706858628274345,0,0,"h08_01_ha2_04_d02",200,0
"bt","glm",50,0.5,10002,0.00549890021995601,0.00389922015596881,0.996100779844031,0.549490101979604,0.404219156168766,0.126674665066987,0,0,"h08_01_ha2_04_d02",200,0.5
"bt","glm",50,0.9,10002,0.00809838032393521,0.00329934013197361,0.996700659868026,0.603279344131174,0.356628674265147,0.215556888622276,0,0,"h08_01_ha2_04_d02",200,0.9
"mmm","bglm",25,0,10002,9.99800039992002e-05,9.99800039992002e-05,0.999900019996001,0.0579884023195361,0.0564887022595481,0.0012997400519896,0,0,"h08_01_ha2_04_d02",100,0
"mmm","bglm",25,0.5,10002,0.0001999600079984,0.0001999600079984,0.999800039992002,0.0599880023995201,0.0538892221555689,0.00609878024395121,0,0,"h08_01_ha2_04_d02",100,0.5
"mmm","bglm",25,0.9,10002,0.000499900019996001,9.99800039992002e-05,0.999900019996001,0.114677064587083,0.0759848030393921,0.0371925614877025,0,0,"h08_01_ha2_04_d02",100,0.9
"mmm","bglm",50,0,10002,0.000499900019996001,0.000499900019996001,0.999500099980004,0.204059188162368,0.19126174765047,0.0122975404919016,0,0,"h08_01_ha2_04_d02",200,0
"mmm","bglm",50,0.5,10002,0.0012997400519896,0.0010997800439912,0.998900219956009,0.258148370325935,0.211157768446311,0.0456908618276345,0,0,"h08_01_ha2_04_d02",200,0.5
"mmm","bglm",50,0.9,10002,0.00859828034393121,0.0028994201159768,0.997100579884023,0.358128374325135,0.221455708858228,0.130773845230954,0,0,"h08_01_ha2_04_d02",200,0.9
"mmm","glm",25,0,10002,0,0,0.774745050989802,0.0444911017796441,0.0430913817236553,0.0013997200559888,0.225254949010198,0,"h08_01_ha2_04_d02",100,0
"mmm","glm",25,0.5,10002,0,0,0.812137572485503,0.0467906418716257,0.0418916216756649,0.00489902019596081,0.187862427514497,0,"h08_01_ha2_04_d02",100,0.5
"mmm","glm",25,0.9,10002,0,0,0.891321735652869,0.120875824835033,0.0772845430913817,0.0395920815836833,0.108678264347131,0,"h08_01_ha2_04_d02",100,0.9
"mmm","glm",50,0,10002,0,0,0.981803639272146,0.258048390321936,0.238552289542092,0.0182963407318536,0.0181963607278544,0,"h08_01_ha2_04_d02",200,0
