"method","model","ntrt","corr","nsim","rej_p","reji_p","rejcor_p","pow_p","powi_p","powcor_p","error_p","fail_p","setting","N","cor"
"mmm","glm",50,0,10000,0.0253,0.0246,0.9666,0,0,0,0.0088,0,"h010_4x01_3x03_3x05",200,0
"mmm","glm",50,0.5,10000,0.0263,0.023,0.9678,0,0,0,0.0092,0,"h010_4x01_3x03_3x05",200,0.5
"mmm","glm",50,0.9,10000,0.043,0.0257,0.9676,0,0,0,0.0067,0,"h010_4x01_3x03_3x05",200,0.9
"bonf","bglm",25,0,10000,0,0,1,0.2931,0.247,0,1,0,"h02_01_ha8_04_s03",100,0
"bonf","bglm",25,0.5,10000,0,0,1,0.2907,0.1714,0,1,0,"h02_01_ha8_04_s03",100,0.5
"bonf","bglm",25,0.9,10000,0,0,1,0.2766,0.0742,0,1,0,"h02_01_ha8_04_s03",100,0.9
"bonf","bglm",50,0,10000,2e-04,2e-04,0.9998,1.3636,0.7343,0,1,0,"h02_01_ha8_04_s03",200,0
"bonf","bglm",50,0.5,10000,1e-04,1e-04,0.9999,1.3737,0.4971,0,1,0,"h02_01_ha8_04_s03",200,0.5
"bonf","bglm",50,0.9,10000,2e-04,1e-04,0.9999,1.358,0.2765,0,1,0,"h02_01_ha8_04_s03",200,0.9
"bonf","glm",25,0,10000,0,0,1,0.4258,0.3326,0,1,0,"h02_01_ha8_04_s03",100,0
"bonf","glm",25,0.5,10000,0,0,1,0.406,0.2158,0,1,0,"h02_01_ha8_04_s03",100,0.5
"bonf","glm",25,0.9,10000,0,0,1,0.4259,0.11,0,1,0,"h02_01_ha8_04_s03",100,0.9
"bonf","glm",50,0,10000,1e-04,1e-04,0.9999,1.8528,0.8347,0,1,0,"h02_01_ha8_04_s03",200,0
"bonf","glm",50,0.5,10000,0,0,1,1.817,0.574,0,1,0,"h02_01_ha8_04_s03",200,0.5
"bonf","glm",50,0.9,10000,0,0,1,1.753,0.3397,0,1,0,"h02_01_ha8_04_s03",200,0.9
"bt","bglm",25,0,10000,1e-04,1e-04,0.9999,0.5336,0.3881,0,1,0,"h02_01_ha8_04_s03",100,0
"bt","bglm",25,0.5,10000,4e-04,4e-04,0.9996,0.7037,0.3232,0,1,0,"h02_01_ha8_04_s03",100,0.5
"bt","bglm",25,0.9,10000,0.0024,0.002,0.998,1.2033,0.2455,0,1,0,"h02_01_ha8_04_s03",100,0.9
"bt","bglm",50,0,10000,7e-04,7e-04,0.9993,1.9037,0.8337,0,1,0,"h02_01_ha8_04_s03",200,0
"bt","bglm",50,0.5,10000,3e-04,3e-04,0.9997,1.9506,0.6032,0,1,0,"h02_01_ha8_04_s03",200,0.5
"bt","bglm",50,0.9,10000,0.0046,0.0038,0.9962,3.0618,0.49,0,1,0,"h02_01_ha8_04_s03",200,0.9
"bt","glm",25,0,10000,0,0,1,0.7491,0.5003,0,1,0,"h02_01_ha8_04_s03",100,0
"bt","glm",25,0.5,10000,0,0,1,0.8471,0.3596,0,1,0,"h02_01_ha8_04_s03",100,0.5
"bt","glm",25,0.9,10000,0,0,1,1.4691,0.2813,0,1,0,"h02_01_ha8_04_s03",100,0.9
"bt","glm",50,0,10000,0,0,1,2.1225,0.8658,0,1,0,"h02_01_ha8_04_s03",200,0
"bt","glm",50,0.5,10000,0,0,1,2.336,0.6524,0,1,0,"h02_01_ha8_04_s03",200,0.5
"bt","glm",50,0.9,10000,5e-04,5e-04,0.9995,3.4943,0.5235,0,1,0,"h02_01_ha8_04_s03",200,0.9
"mmm","bglm",25,0,10000,0,0,1,0.3414,0.2799,0,1,0,"h02_01_ha8_04_s03",100,0
"mmm","bglm",25,0.5,10000,0,0,1,0.4075,0.2128,0,1,0,"h02_01_ha8_04_s03",100,0.5
"mmm","bglm",25,0.9,10000,0,0,1,0.6762,0.159,0,1,0,"h02_01_ha8_04_s03",100,0.9
"mmm","bglm",50,0,10000,2e-04,2e-04,0.9998,1.387,0.7371,0,1,0,"h02_01_ha8_04_s03",200,0
"mmm","bglm",50,0.5,10000,2e-04,2e-04,0.9998,1.4735,0.5221,0,1,0,"h02_01_ha8_04_s03",200,0.5
"mmm","bglm",50,0.9,10000,0.0015,0.0012,0.9988,2.3459,0.4163,0,1,0,"h02_01_ha8_04_s03",200,0.9
"mmm","glm",25,0,10000,0,0,0.9374,0.4099,0.3171,0,0.0626,0,"h02_01_ha8_04_s03",100,0
"mmm","glm",25,0.5,10000,0,0,0.9375,0.3948,0.206,6e-04,0.0625,0,"h02_01_ha8_04_s03",100,0.5
"mmm","glm",25,0.9,10000,0,0,0.9483,0.7963,0.1742,0.0196,0.0517,0,"h02_01_ha8_04_s03",100,0.9
"mmm","glm",50,0,10000,0,0,0.9949,1.9004,0.8349,8e-04,0.0051,0,"h02_01_ha8_04_s03",200,0
"mmm","glm",50,0.5,10000,0,0,0.996,1.9043,0.5985,0.0157,0.004,0,"h02_01_ha8_04_s03",200,0.5
"mmm","glm",50,0.9,10000,5e-04,3e-04,0.996,2.7149,0.4527,0.0804,0.0037,0,"h02_01_ha8_04_s03",200,0.9
"bonf","bglm",25,0,10000,0,0,1,0.2862,0.2404,0,1,0,"h02_002_ha8_04_s03",100,0
"bonf","bglm",25,0.5,10000,0,0,1,0.2767,0.1633,0,1,0,"h02_002_ha8_04_s03",100,0.5
"bonf","bglm",25,0.9,10000,0,0,1,0.2955,0.0815,0,1,0,"h02_002_ha8_04_s03",100,0.9
"bonf","bglm",50,0,10000,0,0,1,1.3655,0.7317,0,1,0,"h02_002_ha8_04_s03",200,0
"bonf","bglm",50,0.5,10000,0,0,1,1.3324,0.49,0,1,0,"h02_002_ha8_04_s03",200,0.5
"bonf","bglm",50,0.9,10000,0,0,1,1.3802,0.2809,0,1,0,"h02_002_ha8_04_s03",200,0.9
"bonf","glm",25,0,10000,0,0,1,0.4257,0.3277,0,1,0,"h02_002_ha8_04_s03",100,0
"bonf","glm",25,0.5,10000,0,0,1,0.4132,0.2197,0,1,0,"h02_002_ha8_04_s03",100,0.5
"bonf","glm",25,0.9,10000,0,0,1,0.4483,0.1091,0,1,0,"h02_002_ha8_04_s03",100,0.9
"bonf","glm",50,0,10000,0,0,1,1.824,0.8304,0,1,0,"h02_002_ha8_04_s03",200,0
"bonf","glm",50,0.5,10000,0,0,1,1.8272,0.5814,0,1,0,"h02_002_ha8_04_s03",200,0.5
"bonf","glm",50,0.9,10000,0,0,1,1.7973,0.3471,0,1,0,"h02_002_ha8_04_s03",200,0.9
"bt","bglm",25,0,10000,0,0,1,0.5202,0.3777,0,1,0,"h02_002_ha8_04_s03",100,0
"bt","bglm",25,0.5,10000,0,0,1,0.7254,0.3204,0,1,0,"h02_002_ha8_04_s03",100,0.5
"bt","bglm",25,0.9,10000,0,0,1,1.2762,0.251,0,1,0,"h02_002_ha8_04_s03",100,0.9
"bt","bglm",50,0,10000,0,0,1,1.8969,0.8333,0,1,0,"h02_002_ha8_04_s03",200,0
"bt","bglm",50,0.5,10000,0,0,1,1.9896,0.6083,0,1,0,"h02_002_ha8_04_s03",200,0.5
"bt","bglm",50,0.9,10000,0,0,1,3.1054,0.4958,0,1,0,"h02_002_ha8_04_s03",200,0.9
"bt","glm",25,0,10000,0,0,1,0.75,0.4922,0,1,0,"h02_002_ha8_04_s03",100,0
"bt","glm",25,0.5,10000,0,0,1,0.8491,0.3646,0,1,0,"h02_002_ha8_04_s03",100,0.5
"bt","glm",25,0.9,10000,0,0,1,1.4895,0.2865,0,1,0,"h02_002_ha8_04_s03",100,0.9
"bt","glm",50,0,10000,0,0,1,2.1101,0.8629,0,1,0,"h02_002_ha8_04_s03",200,0
"bt","glm",50,0.5,10000,0,0,1,2.3652,0.6594,0,1,0,"h02_002_ha8_04_s03",200,0.5
"bt","glm",50,0.9,10000,0,0,1,3.5329,0.5298,0,1,0,"h02_002_ha8_04_s03",200,0.9
