"","method","model","nsim","ntrt","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor","X"
"152","bt","bglm",1667,25,0.9,0,1667,82,50,1617,3541,604,0,116
"153","bonf","glm",1667,50,0.9,0,1667,10,7,1660,183,43,0,117
"154","bt","glm",1667,50,0.9,0,1667,147,94,1573,3535,625,0,118
"155","bonf","bglm",1667,50,0.9,0,1667,4,3,1664,2992,592,0,119
"156","bt","bglm",1667,50,0.9,0,1667,92,65,1602,10334,1458,0,120
"157","bonf","glm",1667,25,0.5,0,1667,8,7,1660,0,0,0,121
"158","bt","glm",1667,25,0.5,0,1667,99,85,1582,110,81,0,122
"159","bonf","bglm",1667,25,0.5,0,1667,8,8,1659,103,74,0,123
"160","bt","bglm",1667,25,0.5,0,1667,68,58,1609,2563,886,0,124
"161","bonf","glm",1667,50,0.5,0,1667,15,15,1652,143,102,0,125
"162","bt","glm",1667,50,0.5,0,1667,98,77,1590,2782,1001,0,126
"163","bonf","bglm",1667,50,0.5,0,1667,15,14,1653,3190,1034,0,127
"164","bt","bglm",1667,50,0.5,0,1667,71,60,1607,9388,1609,0,128
"165","bonf","glm",1667,25,0.5,0,1667,9,8,1659,0,0,0,129
"166","bt","glm",1667,25,0.5,0,1667,88,79,1588,110,75,0,130
"167","bonf","bglm",1667,25,0.5,0,1667,4,4,1663,106,75,0,131
"168","bt","bglm",1667,25,0.5,0,1667,68,61,1606,2661,929,0,132
"169","bonf","glm",1667,50,0.5,0,1667,17,14,1653,197,125,0,133
"170","bt","glm",1667,50,0.5,0,1667,106,91,1576,2734,975,0,134
"171","bonf","bglm",1667,50,0.5,0,1667,7,7,1660,3234,1055,0,135
"172","bt","bglm",1667,50,0.5,0,1667,73,58,1609,9392,1604,0,136
"173","bonf","glm",1667,25,0.5,0,1667,8,8,1659,0,0,0,137
"174","bt","glm",1667,25,0.5,0,1667,121,104,1563,126,87,0,138
"175","bonf","bglm",1667,25,0.5,0,1667,9,9,1658,110,72,0,139
"176","bt","bglm",1667,25,0.5,0,1667,63,56,1611,2718,931,0,140
"177","bonf","glm",1667,50,0.5,0,1667,18,16,1651,161,112,0,141
"178","bt","glm",1667,50,0.5,0,1667,114,97,1570,2690,972,0,142
"179","bonf","bglm",1667,50,0.5,0,1667,12,12,1655,3289,1072,0,143
"180","bt","bglm",1667,50,0.5,0,1667,79,70,1597,9482,1617,0,144
"181","mmm","glm",10000,25,0,0,9369,1,1,630,0,0,0,145
"182","mmm","glm",10000,50,0,0,7349,21,21,2630,385,357,0,146
"183","mmm","glm",10000,25,0.5,0,8360,8,8,1632,7,6,0,147
"184","mmm","glm",10000,50,0.5,0,6259,29,27,3714,1222,622,2,148
"185","mmm","glm",10000,25,0.9,0,6152,74,56,3792,137,33,4,149
"186","mmm","glm",10000,50,0.9,0,4315,134,93,5592,7243,1402,345,150
