"method","model","nsim","ntrt","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor"
"bt","glm",1667,25,0.5,0,1667,1,1,1666,155,121,0
"bonf","bglm",1667,25,0.5,0,1667,0,0,1667,17,17,0
"bt","bglm",1667,25,0.5,0,1667,17,14,1653,104,88,0
"bonf","glm",1667,50,0.5,0,1667,2,1,1666,47,41,0
"bt","glm",1667,50,0.5,0,1667,7,7,1660,191,146,0
"bonf","bglm",1667,50,0.5,0,1667,0,0,1667,23,22,0
"bt","bglm",1667,50,0.5,0,1667,37,29,1638,146,124,0
"bonf","glm",1667,25,0.5,0,1667,0,0,1667,12,12,0
"bt","glm",1667,25,0.5,0,1667,0,0,1667,117,96,0
"bonf","bglm",1667,25,0.5,0,1667,0,0,1667,13,13,0
"bt","bglm",1667,25,0.5,0,1667,20,13,1654,104,90,0
"bonf","glm",1667,50,0.5,0,1667,0,0,1667,45,40,0
"bt","glm",1667,50,0.5,0,1667,7,6,1661,200,155,0
"bonf","bglm",1667,50,0.5,0,1667,0,0,1667,23,22,0
"bt","bglm",1667,50,0.5,0,1667,51,39,1628,168,136,0
"bonf","glm",1667,25,0.5,0,1667,0,0,1667,9,9,0
"bt","glm",1667,25,0.5,0,1667,0,0,1667,161,121,0
"bonf","bglm",1667,25,0.5,0,1667,0,0,1667,8,8,0
"bt","bglm",1667,25,0.5,0,1667,24,20,1647,118,100,0
"bonf","glm",1667,50,0.5,0,1667,0,0,1667,37,30,0
"bt","glm",1667,50,0.5,0,1667,13,8,1659,191,153,0
"bonf","bglm",1667,50,0.5,0,1667,0,0,1667,19,19,0
"bt","bglm",1667,50,0.5,0,1667,23,21,1646,140,114,0
"mmm","glm",10000,25,0,0,2237,0,0,7763,96,92,2
"mmm","glm",10000,50,0,0,185,0,0,9815,282,259,17
"mmm","glm",10000,25,0.5,0,1851,0,0,8149,97,87,10
"mmm","glm",10000,50,0.5,0,169,0,0,9831,265,239,24
"mmm","glm",10000,25,0.9,0,1015,0,0,8985,275,184,66
"mmm","glm",10000,50,0.9,0,104,26,9,9887,521,338,115
