"","Method","Model","Setting","N","Correlation","Power","FWER","No_simulations"
"314","mmm","bglm","h08_002_ha2_04_s03",100,0.5,0.1067,0,10000
"315","mmm","bglm","h08_002_ha2_04_s03",100,0.9,0.1346,0,10000
"316","mmm","bglm","h08_002_ha2_04_s03",200,0,0.2905,0,10000
"317","mmm","bglm","h08_002_ha2_04_s03",200,0.5,0.3168,0,10000
"318","mmm","bglm","h08_002_ha2_04_s03",200,0.9,0.3414,0,10000
"319","mmm","glm","h08_002_ha2_04_s03",100,0,0.004,0,10000
"320","mmm","glm","h08_002_ha2_04_s03",100,0.5,0.0215,0,10000
"321","mmm","glm","h08_002_ha2_04_s03",100,0.9,0.085,0,10000
"322","mmm","glm","h08_002_ha2_04_s03",200,0,0.0347,0,10000
"323","mmm","glm","h08_002_ha2_04_s03",200,0.5,0.0779,0,10000
"324","mmm","glm","h08_002_ha2_04_s03",200,0.9,0.2009,0,10000
"325","bonf","bglm","h08_04_ha2_01_s03",100,0,0.0036,0.0111,10000
"326","bonf","bglm","h08_04_ha2_01_s03",100,0.5,0.0028,0.0105,10000
"327","bonf","bglm","h08_04_ha2_01_s03",100,0.9,0.0032,0.0055,10000
"328","bonf","bglm","h08_04_ha2_01_s03",200,0,0.0351,0.0211,10000
"329","bonf","bglm","h08_04_ha2_01_s03",200,0.5,0.038,0.0177,10000
"330","bonf","bglm","h08_04_ha2_01_s03",200,0.9,0.029,0.0086,10000
"331","bonf","glm","h08_04_ha2_01_s03",100,0,2e-04,0.0179,10000
"332","bonf","glm","h08_04_ha2_01_s03",100,0.5,2e-04,0.0123,10000
"333","bonf","glm","h08_04_ha2_01_s03",100,0.9,1e-04,0.0059,10000
"334","bonf","glm","h08_04_ha2_01_s03",200,0,0.0131,0.0328,10000
"335","bonf","glm","h08_04_ha2_01_s03",200,0.5,0.0129,0.0285,10000
"336","bonf","glm","h08_04_ha2_01_s03",200,0.9,0.01,0.0126,10000
"337","bt","bglm","h08_04_ha2_01_s03",100,0,0.018,0.0414,10000
"338","bt","bglm","h08_04_ha2_01_s03",100,0.5,0.0183,0.0427,10000
"339","bt","bglm","h08_04_ha2_01_s03",100,0.9,0.0384,0.0378,10000
"340","bt","bglm","h08_04_ha2_01_s03",200,0,0.0683,0.0331,10000
"341","bt","bglm","h08_04_ha2_01_s03",200,0.5,0.0757,0.0369,10000
"342","bt","bglm","h08_04_ha2_01_s03",200,0.9,0.1019,0.0378,10000
"343","bt","glm","h08_04_ha2_01_s03",100,0,0.0023,0.0516,10000
