"method","model","nsim","ntrt","pi0","nep_h0","nep_ha","slope","corr","n_h0_ha","rej_p","reji_p","rejcor_p","pow_p","powi_p","powcor_p","error_p","fail_p","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor","N","J0_JA","cor"
"mmm","bglm",10000,100,0.1,"2","8",0.175,0,"2:8",0.0055,0.0055,0.9945,7.9477,1,0.949,NA,NA,0,0,55,55,9945,79477,10000,9490,400,"2:8",0
"mmm","bglm",10000,100,0.1,"2","8",0.175,0.5,"2:8",0.0099,0.0092,0.9908,7.9533,1,0.9636,NA,NA,0,0,99,92,9908,79533,10000,9636,400,"2:8",0.5
"mmm","bglm",10000,100,0.1,"2","8",0.175,0.9,"2:8",0.0166,0.0123,0.9877,7.9784,0.9994,0.992,NA,NA,0,0,166,123,9877,79784,9994,9920,400,"2:8",0.9
"mmm","bglm",10000,100,0.1,"2","8",0.2,0,"2:8",0.0063,0.0063,0.9937,7.9965,1,0.9965,NA,NA,0,0,63,63,9937,79965,10000,9965,400,"2:8",0
"mmm","bglm",10000,100,0.1,"2","8",0.2,0.5,"2:8",0.0084,0.0079,0.9921,7.9967,1,0.9974,NA,NA,0,0,84,79,9921,79967,10000,9974,400,"2:8",0.5
"mmm","bglm",10000,100,0.1,"2","8",0.2,0.9,"2:8",0.0158,0.0116,0.9884,7.9992,1,0.9994,NA,NA,0,0,158,116,9884,79992,10000,9994,400,"2:8",0.9
"mmm","bglm",10000,100,0.1,"8","2",0.001,0,"8:2",0.0284,0.028,0.972,0.0062,0.0062,0,NA,NA,0,0,284,280,9720,62,62,0,400,"8:2",0
"mmm","bglm",10000,100,0.1,"8","2",0.001,0.5,"8:2",0.0304,0.025,0.975,0.0088,0.0085,3e-04,NA,NA,0,0,304,250,9750,88,85,3,400,"8:2",0.5
"mmm","bglm",10000,100,0.1,"8","2",0.001,0.9,"8:2",0.0691,0.0272,0.9728,0.0198,0.0151,0.0047,NA,NA,0,0,691,272,9728,198,151,47,400,"8:2",0.9
"mmm","bglm",10000,100,0.1,"8","2",0.025,0,"8:2",0.0297,0.0289,0.9711,0.0275,0.0272,3e-04,NA,NA,0,0,297,289,9711,275,272,3,400,"8:2",0
"mmm","bglm",10000,100,0.1,"8","2",0.025,0.5,"8:2",0.0329,0.0258,0.9742,0.0263,0.0242,0.0021,NA,NA,0,0,329,258,9742,263,242,21,400,"8:2",0.5
"mmm","bglm",10000,100,0.1,"8","2",0.025,0.9,"8:2",0.0756,0.0251,0.9749,0.0566,0.0399,0.0167,NA,NA,0,0,756,251,9749,566,399,167,400,"8:2",0.9
"mmm","bglm",10000,100,0.1,"8","2",0.05,0,"8:2",0.0292,0.0287,0.9713,0.1136,0.1105,0.0031,NA,NA,0,0,292,287,9713,1136,1105,31,400,"8:2",0
"mmm","bglm",10000,100,0.1,"8","2",0.05,0.5,"8:2",0.0308,0.0242,0.9758,0.1261,0.1081,0.018,NA,NA,0,0,308,242,9758,1261,1081,180,400,"8:2",0.5
"mmm","bglm",10000,100,0.1,"8","2",0.05,0.9,"8:2",0.0735,0.0265,0.9735,0.1998,0.1312,0.0686,NA,NA,0,0,735,265,9735,1998,1312,686,400,"8:2",0.9
"mmm","bglm",10000,100,0.1,"8","2",0.075,0,"8:2",0.0294,0.0291,0.9709,0.3694,0.3342,0.0352,NA,NA,0,0,294,291,9709,3694,3342,352,400,"8:2",0
"mmm","bglm",10000,100,0.1,"8","2",0.075,0.5,"8:2",0.0291,0.0255,0.9745,0.4108,0.3221,0.0887,NA,NA,0,0,291,255,9745,4108,3221,887,400,"8:2",0.5
"mmm","bglm",10000,100,0.1,"8","2",0.075,0.9,"8:2",0.0731,0.0249,0.9751,0.5499,0.3316,0.2183,NA,NA,0,0,731,249,9751,5499,3316,2183,400,"8:2",0.9
"mmm","bglm",10000,100,0.1,"8","2",0.1,0,"8:2",0.0308,0.0305,0.9695,0.9043,0.7005,0.2038,NA,NA,0,0,308,305,9695,9043,7005,2038,400,"8:2",0
"mmm","bglm",10000,100,0.1,"8","2",0.1,0.5,"8:2",0.0313,0.0247,0.9753,0.9414,0.6402,0.3012,NA,NA,0,0,313,247,9753,9414,6402,3012,400,"8:2",0.5
"mmm","bglm",10000,100,0.1,"8","2",0.1,0.9,"8:2",0.0678,0.0227,0.9773,1.1301,0.6356,0.4945,NA,NA,0,0,678,227,9773,11301,6356,4945,400,"8:2",0.9
"mmm","bglm",10000,100,0.1,"8","2",0.125,0,"8:2",0.0281,0.0279,0.9721,1.5167,0.9399,0.5768,NA,NA,0,0,281,279,9721,15167,9399,5768,400,"8:2",0
"mmm","bglm",10000,100,0.1,"8","2",0.125,0.5,"8:2",0.0345,0.0278,0.9722,1.5568,0.901,0.6558,NA,NA,0,0,345,278,9722,15568,9010,6558,400,"8:2",0.5
"mmm","bglm",10000,100,0.1,"8","2",0.125,0.9,"8:2",0.0731,0.0261,0.9739,1.6714,0.8835,0.7879,NA,NA,0,0,731,261,9739,16714,8835,7879,400,"8:2",0.9
"mmm","bglm",10000,100,0.1,"8","2",0.15,0,"8:2",0.0295,0.0289,0.9711,1.882,0.9967,0.8853,NA,NA,0,0,295,289,9711,18820,9967,8853,400,"8:2",0
"mmm","bglm",10000,100,0.1,"8","2",0.15,0.5,"8:2",0.0329,0.0275,0.9725,1.897,0.9875,0.9095,NA,NA,0,0,329,275,9725,18970,9875,9095,400,"8:2",0.5
"mmm","bglm",10000,100,0.1,"8","2",0.15,0.9,"8:2",0.0616,0.0231,0.9769,1.9333,0.9788,0.9545,NA,NA,0,0,616,231,9769,19333,9788,9545,400,"8:2",0.9
"mmm","bglm",10000,100,0.1,"8","2",0.175,0,"8:2",0.0282,0.0279,0.9721,1.9863,1,0.9863,NA,NA,0,0,282,279,9721,19863,10000,9863,400,"8:2",0
"mmm","bglm",10000,100,0.1,"8","2",0.175,0.5,"8:2",0.0341,0.0291,0.9709,1.9894,0.9996,0.9898,NA,NA,0,0,341,291,9709,19894,9996,9898,400,"8:2",0.5
"mmm","bglm",10000,100,0.1,"8","2",0.175,0.9,"8:2",0.0758,0.0254,0.9746,1.9933,0.9985,0.9948,NA,NA,0,0,758,254,9746,19933,9985,9948,400,"8:2",0.9
"mmm","bglm",10000,100,0.1,"8","2",0.2,0,"8:2",0.0286,0.0283,0.9717,1.9992,1,0.9992,NA,NA,0,0,286,283,9717,19992,10000,9992,400,"8:2",0
"mmm","bglm",10000,100,0.1,"8","2",0.2,0.5,"8:2",0.0317,0.0256,0.9744,1.9993,1,0.9993,NA,NA,0,0,317,256,9744,19993,10000,9993,400,"8:2",0.5
"mmm","bglm",10000,100,0.1,"8","2",0.2,0.9,"8:2",0.0754,0.0269,0.9731,1.9995,0.9999,0.9996,NA,NA,0,0,754,269,9731,19995,9999,9996,400,"8:2",0.9
"bt","bglm",10020,25,0.1,"2","8",0.001,0,"2:8",0.0117764471057884,0.0116766467065868,0.988323353293413,0.0442115768463074,0.0434131736526946,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"2:8",0
"bt","bglm",10020,25,0.1,"2","8",0.001,0.5,"2:8",0.0130738522954092,0.012375249500998,0.987624750499002,0.0581836327345309,0.044810379241517,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"2:8",0.5
"bt","bglm",10020,25,0.1,"2","8",0.001,0.9,"2:8",0.0282435129740519,0.0199600798403194,0.980039920159681,0.105289421157685,0.0367265469061876,0.00269461077844311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"2:8",0.9
"bt","bglm",10020,25,0.1,"2","8",0.025,0,"2:8",0.01187624750499,0.0117764471057884,0.988223552894212,0.0885229540918164,0.0855289421157685,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"2:8",0
"bt","bglm",10020,25,0.1,"2","8",0.025,0.5,"2:8",0.0122754491017964,0.01187624750499,0.98812375249501,0.0961077844311377,0.067065868263473,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"2:8",0.5
"bt","bglm",10020,25,0.1,"2","8",0.025,0.9,"2:8",0.0290419161676647,0.0203592814371257,0.979640718562874,0.19311377245509,0.0559880239520958,0.00608782435129741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"2:8",0.9
"bt","bglm",10020,25,0.1,"2","8",0.05,0,"2:8",0.0104790419161677,0.0104790419161677,0.989520958083832,0.198502994011976,0.181936127744511,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"2:8",0
"bt","bglm",10020,25,0.1,"2","8",0.05,0.5,"2:8",0.0114770459081836,0.0108782435129741,0.989121756487026,0.217365269461078,0.129640718562874,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"2:8",0.5
"bt","bglm",10020,25,0.1,"2","8",0.05,0.9,"2:8",0.0286427145708583,0.020059880239521,0.979940119760479,0.375149700598802,0.101397205588822,0.013872255489022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"2:8",0.9
"bt","bglm",10020,25,0.1,"2","8",0.075,0,"2:8",0.00678642714570858,0.00658682634730539,0.993413173652695,0.404191616766467,0.338622754491018,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"2:8",0
"bt","bglm",10020,25,0.1,"2","8",0.075,0.5,"2:8",0.0103792415169661,0.0100798403193613,0.989920159680639,0.457385229540918,0.241616766467066,0.000499001996007984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"2:8",0.5
"bt","bglm",10020,25,0.1,"2","8",0.075,0.9,"2:8",0.0254491017964072,0.0178642714570858,0.982135728542914,0.727944111776447,0.173253493013972,0.0311377245508982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"2:8",0.9
"bt","bglm",10020,25,0.1,"2","8",0.1,0,"2:8",0.00718562874251497,0.00718562874251497,0.992814371257485,0.841516966067864,0.588323353293413,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"2:8",0
"bt","bglm",10020,25,0.1,"2","8",0.1,0.5,"2:8",0.00978043912175649,0.0093812375249501,0.99061876247505,0.94061876247505,0.399600798403194,0.00259481037924152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"2:8",0.5
