"","method","model","nsim","pis","nresp","ntrt","corr","nfail","nerror","nreji","nrej"
"135","bt","bglm",209,0.125,5,50,0.9,0,0,14,29
"136","bt","bglm",209,0.25,5,50,0.9,0,0,8,15
"137","bt","bglm",209,0.375,5,50,0.9,0,0,5,7
"138","bt","bglm",209,0.5,5,50,0.9,0,0,12,36
"139","bt","bglm",209,0.01,10,50,0.9,0,0,10,85
"140","bt","bglm",209,0.0625,10,50,0.9,0,0,13,28
"141","bt","bglm",209,0.125,10,50,0.9,0,0,5,6
"142","bt","bglm",209,0.25,10,50,0.9,0,0,12,15
"143","bt","bglm",209,0.375,10,50,0.9,0,0,13,33
"144","bt","bglm",209,0.5,10,50,0.9,0,0,7,24
"145","bt","bglm",209,0.01,3,100,0.9,0,0,13,31
"146","bt","bglm",209,0.0625,3,100,0.9,0,0,12,20
"147","bt","bglm",209,0.125,3,100,0.9,0,0,11,21
"148","bt","bglm",209,0.25,3,100,0.9,0,0,10,14
"149","bt","bglm",209,0.375,3,100,0.9,0,0,7,9
"150","bt","bglm",209,0.5,3,100,0.9,0,0,15,29
"151","bt","bglm",209,0.01,5,100,0.9,0,0,10,35
"152","bt","bglm",209,0.0625,5,100,0.9,0,0,13,35
"153","bt","bglm",209,0.125,5,100,0.9,0,0,13,34
"154","bt","bglm",209,0.25,5,100,0.9,0,0,10,19
"155","bt","bglm",209,0.375,5,100,0.9,0,0,12,26
"156","bt","bglm",209,0.5,5,100,0.9,0,0,6,11
"157","bt","bglm",209,0.01,10,100,0.9,0,0,13,67
"158","bt","bglm",209,0.0625,10,100,0.9,0,0,15,46
"159","bt","bglm",209,0.125,10,100,0.9,0,0,10,26
"160","bt","bglm",209,0.25,10,100,0.9,0,0,11,55
"161","bt","bglm",209,0.375,10,100,0.9,0,0,13,44
"162","bt","bglm",209,0.5,10,100,0.9,0,0,11,20
"163","bt","bglm",209,0.01,3,25,0,0,0,1,1
"164","bt","bglm",209,0.0625,3,25,0,0,0,10,10
"165","bt","bglm",209,0.125,3,25,0,0,0,18,19
"166","bt","bglm",209,0.25,3,25,0,0,0,13,13
"167","bt","bglm",209,0.375,3,25,0,0,0,9,9
"168","bt","bglm",209,0.5,3,25,0,0,0,9,9
"169","bt","bglm",209,0.01,5,25,0,0,0,11,11
"170","bt","bglm",209,0.0625,5,25,0,0,0,13,13
"171","bt","bglm",209,0.125,5,25,0,0,0,11,11
"172","bt","bglm",209,0.25,5,25,0,0,0,5,5
"173","bt","bglm",209,0.375,5,25,0,0,0,12,12
"174","bt","bglm",209,0.5,5,25,0,0,0,13,13
"175","bt","bglm",209,0.01,10,25,0,0,0,10,11
"176","bt","bglm",209,0.0625,10,25,0,0,0,9,9
"177","bt","bglm",209,0.125,10,25,0,0,0,12,13
"178","bt","bglm",209,0.25,10,25,0,0,0,14,15
"179","bt","bglm",209,0.375,10,25,0,0,0,10,10
"180","bt","bglm",209,0.5,10,25,0,0,0,6,6
"181","bt","bglm",209,0.01,3,50,0,0,0,10,10
"182","bt","bglm",209,0.0625,3,50,0,0,0,16,16
"183","bt","bglm",209,0.125,3,50,0,0,0,10,10
"184","bt","bglm",209,0.25,3,50,0,0,0,9,9
"185","bt","bglm",209,0.375,3,50,0,0,0,5,5
"186","bt","bglm",209,0.5,3,50,0,0,0,7,7
"187","bt","bglm",209,0.01,5,50,0,0,0,11,11
"188","bt","bglm",209,0.0625,5,50,0,0,0,10,10
"189","bt","bglm",209,0.125,5,50,0,0,0,7,7
"190","bt","bglm",209,0.25,5,50,0,0,0,10,10
"191","bt","bglm",209,0.375,5,50,0,0,0,15,15
"192","bt","bglm",209,0.5,5,50,0,0,0,8,9
"193","bt","bglm",209,0.01,10,50,0,0,0,9,9
"194","bt","bglm",209,0.0625,10,50,0,0,0,10,11
"195","bt","bglm",209,0.125,10,50,0,0,0,8,8
"196","bt","bglm",209,0.25,10,50,0,0,0,11,11
"197","bt","bglm",209,0.375,10,50,0,0,0,13,13
"198","bt","bglm",209,0.5,10,50,0,0,0,12,13
"199","bt","bglm",209,0.01,3,100,0,0,0,6,6
"200","bt","bglm",209,0.0625,3,100,0,0,0,9,9
"201","bt","bglm",209,0.125,3,100,0,0,0,11,12
"202","bt","bglm",209,0.25,3,100,0,0,0,10,10
"203","bt","bglm",209,0.375,3,100,0,0,0,7,7
"204","bt","bglm",209,0.5,3,100,0,0,0,7,7
"205","bt","bglm",209,0.01,5,100,0,0,0,10,10
"206","bt","bglm",209,0.0625,5,100,0,0,0,11,11
"207","bt","bglm",209,0.125,5,100,0,0,0,12,12
"208","bt","bglm",209,0.25,5,100,0,0,0,14,15
"209","bt","bglm",209,0.375,5,100,0,0,0,12,12
"210","bt","bglm",209,0.5,5,100,0,0,0,10,10
"211","bt","bglm",209,0.01,10,100,0,0,0,5,5
"212","bt","bglm",209,0.0625,10,100,0,0,0,11,11
"213","bt","bglm",209,0.125,10,100,0,0,0,5,5
"214","bt","bglm",209,0.25,10,100,0,0,0,12,12
"215","bt","bglm",209,0.375,10,100,0,0,0,9,9
"216","bt","bglm",209,0.5,10,100,0,0,0,6,6
"217","bt","bglm",209,0.01,3,25,0.5,0,0,7,11
"218","bt","bglm",209,0.0625,3,25,0.5,0,0,15,17
"219","bt","bglm",209,0.125,3,25,0.5,0,0,9,13
"220","bt","bglm",209,0.25,3,25,0.5,0,0,11,12
"221","bt","bglm",209,0.375,3,25,0.5,0,0,14,17
"222","bt","bglm",209,0.5,3,25,0.5,0,0,11,13
"223","bt","bglm",209,0.01,5,25,0.5,0,0,7,14
"224","bt","bglm",209,0.0625,5,25,0.5,0,0,11,18
"225","bt","bglm",209,0.125,5,25,0.5,0,0,11,15
"226","bt","bglm",209,0.25,5,25,0.5,0,0,12,16
"227","bt","bglm",209,0.375,5,25,0.5,0,0,11,13
"228","bt","bglm",209,0.5,5,25,0.5,0,0,14,16
"229","bt","bglm",209,0.01,10,25,0.5,0,0,9,18
"230","bt","bglm",209,0.0625,10,25,0.5,0,0,18,20
"231","bt","bglm",209,0.125,10,25,0.5,0,0,15,18
"232","bt","bglm",209,0.25,10,25,0.5,0,0,12,19
"233","bt","bglm",209,0.375,10,25,0.5,0,0,11,14
"234","bt","bglm",209,0.5,10,25,0.5,0,0,19,27
"235","bt","bglm",209,0.01,3,50,0.5,0,0,11,15
"236","bt","bglm",209,0.0625,3,50,0.5,0,0,12,13
"237","bt","bglm",209,0.125,3,50,0.5,0,0,5,5
"238","bt","bglm",209,0.25,3,50,0.5,0,0,9,10
