"","method","model","nsim","ntrt","pi0","nep_h0","nep_ha","slope","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor"
"307","mmm","glm",5000,25,0.1,8,2,0.15,0.9,0,0,246,73,4927,3483,2066,1417
"308","mmm","glm",5000,50,0.1,8,2,0.15,0.9,0,0,258,93,4907,7086,3836,3250
"309","mmm","glm",5000,100,0.1,8,2,0.15,0.9,0,0,287,110,4890,9676,4899,4777
"310","mmm","glm",5000,25,0.1,2,8,0.15,0.9,0,0,38,29,4971,13753,2490,935
"311","mmm","glm",5000,50,0.1,2,8,0.15,0.9,0,0,75,55,4945,28135,4208,2644
"312","mmm","glm",5000,100,0.1,2,8,0.15,0.9,0,0,108,78,4922,38656,4950,4619
"313","mmm","glm",5000,25,0.1,8,2,0.175,0.9,0,0,168,60,4940,5225,2963,2262
"314","mmm","glm",5000,50,0.1,8,2,0.175,0.9,0,0,263,100,4900,8873,4602,4271
"315","mmm","glm",5000,100,0.1,8,2,0.175,0.9,0,0,316,109,4891,9972,4995,4977
"316","mmm","glm",5000,25,0.1,2,8,0.175,0.9,0,0,43,31,4969,20799,3400,1694
"317","mmm","glm",5000,50,0.1,2,8,0.175,0.9,0,0,64,47,4953,35426,4765,3884
"318","mmm","glm",5000,100,0.1,2,8,0.175,0.9,0,0,73,51,4949,39871,4996,4958
"319","mmm","glm",5000,25,0.1,8,2,0.2,0.9,0,0,140,43,4957,7063,3831,3232
"320","mmm","glm",5000,50,0.1,8,2,0.2,0.9,0,0,300,92,4908,9696,4901,4795
"321","mmm","glm",5000,100,0.1,8,2,0.2,0.9,0,0,346,132,4868,9996,4999,4997
"322","mmm","glm",5000,25,0.1,2,8,0.2,0.9,0,0,48,31,4969,27858,4166,2565
"323","mmm","glm",5000,50,0.1,2,8,0.2,0.9,0,0,73,53,4947,38828,4961,4627
"324","mmm","glm",5000,100,0.1,2,8,0.2,0.9,0,0,80,58,4942,39995,5000,4997
