"method","model","nsim","pis","nresp","ntrt","corr","nfail","nerror","nreji","nrej"
"bonf","glm",10000,0.0625,10,50,0.9,0,0,46,177
"bonf","glm",10000,0.125,10,50,0.9,0,0,94,277
"bonf","glm",10000,0.25,10,50,0.9,0,0,129,387
"bonf","glm",10000,0.375,10,50,0.9,0,0,138,370
"bonf","glm",10000,0.5,10,50,0.9,0,0,121,343
"bonf","glm",10000,0.01,3,100,0.9,0,0,12,22
"bonf","glm",10000,0.0625,3,100,0.9,0,0,214,364
"bonf","glm",10000,0.125,3,100,0.9,0,0,236,404
"bonf","glm",10000,0.25,3,100,0.9,0,0,256,408
"bonf","glm",10000,0.375,3,100,0.9,0,0,272,458
"bonf","glm",10000,0.5,3,100,0.9,0,0,296,478
"bonf","glm",10000,0.01,5,100,0.9,0,0,3,4
"bonf","glm",10000,0.0625,5,100,0.9,0,0,148,284
"bonf","glm",10000,0.125,5,100,0.9,0,0,159,316
"bonf","glm",10000,0.25,5,100,0.9,0,0,189,423
"bonf","glm",10000,0.375,5,100,0.9,0,0,208,439
"bonf","glm",10000,0.5,5,100,0.9,0,0,217,475
"bonf","glm",10000,0.01,10,100,0.9,0,0,0,0
"bonf","glm",10000,0.0625,10,100,0.9,0,0,85,295
"bonf","glm",10000,0.125,10,100,0.9,0,0,144,390
"bonf","glm",10000,0.25,10,100,0.9,0,0,148,468
"bonf","glm",10000,0.375,10,100,0.9,0,0,136,362
"bonf","glm",10000,0.5,10,100,0.9,0,0,162,527
