"","method","model","nsim","pis","nresp","ntrt","corr","nfail","nerror","nreji","nrej"
"9785","bt","glm",16,0.375,5,25,0.5,0,0,1,1
"9786","bt","glm",16,0.5,5,25,0.5,0,0,0,0
"9787","bt","glm",16,0.01,10,25,0.5,0,0,0,0
"9788","bt","glm",16,0.0625,10,25,0.5,0,0,2,2
"9789","bt","glm",16,0.125,10,25,0.5,0,0,0,0
"9790","bt","glm",16,0.25,10,25,0.5,0,0,1,1
"9791","bt","glm",16,0.375,10,25,0.5,0,0,3,3
"9792","bt","glm",16,0.5,10,25,0.5,0,0,0,0
"9793","bt","glm",16,0.01,3,50,0.5,0,0,1,1
"9794","bt","glm",16,0.0625,3,50,0.5,0,0,1,1
"9795","bt","glm",16,0.125,3,50,0.5,0,0,0,0
"9796","bt","glm",16,0.25,3,50,0.5,0,0,1,1
"9797","bt","glm",16,0.375,3,50,0.5,0,0,2,3
"9798","bt","glm",16,0.5,3,50,0.5,0,0,0,0
"9799","bt","glm",16,0.01,5,50,0.5,0,0,1,1
"9800","bt","glm",16,0.0625,5,50,0.5,0,0,0,0
"9801","bt","glm",16,0.125,5,50,0.5,0,0,2,3
"9802","bt","glm",16,0.25,5,50,0.5,0,0,1,2
"9803","bt","glm",16,0.375,5,50,0.5,0,0,1,1
"9804","bt","glm",16,0.5,5,50,0.5,0,0,3,5
"9805","bt","glm",16,0.01,10,50,0.5,0,0,2,2
"9806","bt","glm",16,0.0625,10,50,0.5,0,0,0,0
"9807","bt","glm",16,0.125,10,50,0.5,0,0,1,1
"9808","bt","glm",16,0.25,10,50,0.5,0,0,2,2
"9809","bt","glm",16,0.375,10,50,0.5,0,0,1,2
"9810","bt","glm",16,0.5,10,50,0.5,0,0,0,0
"9811","bt","glm",16,0.01,3,100,0.5,0,0,1,1
"9812","bt","glm",16,0.0625,3,100,0.5,0,0,0,0
"9813","bt","glm",16,0.125,3,100,0.5,0,0,0,0
"9814","bt","glm",16,0.25,3,100,0.5,0,0,3,3
"9815","bt","glm",16,0.375,3,100,0.5,0,0,0,0
"9816","bt","glm",16,0.5,3,100,0.5,0,0,0,0
"9817","bt","glm",16,0.01,5,100,0.5,0,0,1,1
"9818","bt","glm",16,0.0625,5,100,0.5,0,0,2,4
"9819","bt","glm",16,0.125,5,100,0.5,0,0,0,0
"9820","bt","glm",16,0.25,5,100,0.5,0,0,0,0
"9821","bt","glm",16,0.375,5,100,0.5,0,0,1,2
"9822","bt","glm",16,0.5,5,100,0.5,0,0,1,1
"9823","bt","glm",16,0.01,10,100,0.5,0,0,0,0
"9824","bt","glm",16,0.0625,10,100,0.5,0,0,3,3
"9825","bt","glm",16,0.125,10,100,0.5,0,0,0,0
"9826","bt","glm",16,0.25,10,100,0.5,0,0,2,3
"9827","bt","glm",16,0.375,10,100,0.5,0,0,0,0
"9828","bt","glm",16,0.5,10,100,0.5,0,0,3,6
"9829","bt","glm",16,0.01,3,25,0.9,0,0,0,0
"9830","bt","glm",16,0.0625,3,25,0.9,0,0,1,1
"9831","bt","glm",16,0.125,3,25,0.9,0,0,1,2
"9832","bt","glm",16,0.25,3,25,0.9,0,0,2,6
"9833","bt","glm",16,0.375,3,25,0.9,0,0,0,0
"9834","bt","glm",16,0.5,3,25,0.9,0,0,2,2
"9835","bt","glm",16,0.01,5,25,0.9,0,0,0,0
"9836","bt","glm",16,0.0625,5,25,0.9,0,0,2,4
"9837","bt","glm",16,0.125,5,25,0.9,0,0,1,1
"9838","bt","glm",16,0.25,5,25,0.9,0,0,0,0
"9839","bt","glm",16,0.375,5,25,0.9,0,0,0,0
"9840","bt","glm",16,0.5,5,25,0.9,0,0,2,6
"9841","bt","glm",16,0.01,10,25,0.9,0,0,0,0
"9842","bt","glm",16,0.0625,10,25,0.9,0,0,0,0
"9843","bt","glm",16,0.125,10,25,0.9,0,0,2,16
"9844","bt","glm",16,0.25,10,25,0.9,0,0,1,1
"9845","bt","glm",16,0.375,10,25,0.9,0,0,1,2
"9846","bt","glm",16,0.5,10,25,0.9,0,0,1,2
"9847","bt","glm",16,0.01,3,50,0.9,0,0,0,0
"9848","bt","glm",16,0.0625,3,50,0.9,0,0,0,0
"9849","bt","glm",16,0.125,3,50,0.9,0,0,1,3
"9850","bt","glm",16,0.25,3,50,0.9,0,0,0,0
"9851","bt","glm",16,0.375,3,50,0.9,0,0,1,1
"9852","bt","glm",16,0.5,3,50,0.9,0,0,0,0
"9853","bt","glm",16,0.01,5,50,0.9,0,0,2,8
"9854","bt","glm",16,0.0625,5,50,0.9,0,0,0,0
"9855","bt","glm",16,0.125,5,50,0.9,0,0,0,0
"9856","bt","glm",16,0.25,5,50,0.9,0,0,1,1
"9857","bt","glm",16,0.375,5,50,0.9,0,0,0,0
"9858","bt","glm",16,0.5,5,50,0.9,0,0,0,0
"9859","bt","glm",16,0.01,10,50,0.9,0,0,0,0
"9860","bt","glm",16,0.0625,10,50,0.9,0,0,3,17
"9861","bt","glm",16,0.125,10,50,0.9,0,0,0,0
"9862","bt","glm",16,0.25,10,50,0.9,0,0,1,2
"9863","bt","glm",16,0.375,10,50,0.9,0,0,1,2
"9864","bt","glm",16,0.5,10,50,0.9,0,0,0,0
"9865","bt","glm",16,0.01,3,100,0.9,0,0,0,0
"9866","bt","glm",16,0.0625,3,100,0.9,0,0,1,1
"9867","bt","glm",16,0.125,3,100,0.9,0,0,1,1
"9868","bt","glm",16,0.25,3,100,0.9,0,0,1,1
"9869","bt","glm",16,0.375,3,100,0.9,0,0,2,4
"9870","bt","glm",16,0.5,3,100,0.9,0,0,1,1
"9871","bt","glm",16,0.01,5,100,0.9,0,0,1,4
"9872","bt","glm",16,0.0625,5,100,0.9,0,0,1,2
"9873","bt","glm",16,0.125,5,100,0.9,0,0,0,0
"9874","bt","glm",16,0.25,5,100,0.9,0,0,2,7
"9875","bt","glm",16,0.375,5,100,0.9,0,0,1,5
"9876","bt","glm",16,0.5,5,100,0.9,0,0,2,3
"9877","bt","glm",16,0.01,10,100,0.9,0,0,0,0
"9878","bt","glm",16,0.0625,10,100,0.9,0,0,1,4
"9879","bt","glm",16,0.125,10,100,0.9,0,0,0,0
"9880","bt","glm",16,0.25,10,100,0.9,0,0,0,0
"9881","bt","glm",16,0.375,10,100,0.9,0,0,0,0
"9882","bt","glm",16,0.5,10,100,0.9,0,0,1,1
"9883","bt","glm",16,0.01,3,25,0,0,0,0,0
"9884","bt","glm",16,0.0625,3,25,0,0,0,1,1
"9885","bt","glm",16,0.125,3,25,0,0,0,0,0
"9886","bt","glm",16,0.25,3,25,0,0,0,0,0
"9887","bt","glm",16,0.375,3,25,0,0,0,0,0
"9888","bt","glm",16,0.5,3,25,0,0,0,0,0
"9889","bt","glm",16,0.01,5,25,0,0,0,0,0
"9890","bt","glm",16,0.0625,5,25,0,0,0,1,1
"9891","bt","glm",16,0.125,5,25,0,0,0,0,0
"9892","bt","glm",16,0.25,5,25,0,0,0,1,1
"9893","bt","glm",16,0.375,5,25,0,0,0,0,0
"9894","bt","glm",16,0.5,5,25,0,0,0,1,1
"9895","bt","glm",16,0.01,10,25,0,0,0,0,0
"9896","bt","glm",16,0.0625,10,25,0,0,0,1,1
"9897","bt","glm",16,0.125,10,25,0,0,0,1,1
"9898","bt","glm",16,0.25,10,25,0,0,0,0,0
"9899","bt","glm",16,0.375,10,25,0,0,0,0,0
"9900","bt","glm",16,0.5,10,25,0,0,0,1,1
"9901","bt","glm",16,0.01,3,50,0,0,0,0,0
"9902","bt","glm",16,0.0625,3,50,0,0,0,0,0
"9903","bt","glm",16,0.125,3,50,0,0,0,0,0
"9904","bt","glm",16,0.25,3,50,0,0,0,2,2
"9905","bt","glm",16,0.375,3,50,0,0,0,0,0
"9906","bt","glm",16,0.5,3,50,0,0,0,1,1
"9907","bt","glm",16,0.01,5,50,0,0,0,0,0
"9908","bt","glm",16,0.0625,5,50,0,0,0,2,2
"9909","bt","glm",16,0.125,5,50,0,0,0,1,1
