"","method","model","nsim","ntrt","pi0","nep_h0","nep_ha","slope","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor"
"180","bt","bglm",167,100,0.1,2,8,0.05,0,0,0,1,1,166,119,93,0
"181","bt","bglm",167,25,0.1,8,2,0.075,0,0,0,2,2,165,18,17,1
"182","bt","bglm",167,50,0.1,8,2,0.075,0,0,0,7,7,160,19,19,0
"183","bt","bglm",167,100,0.1,8,2,0.075,0,0,0,8,8,159,92,77,15
"184","bt","bglm",167,25,0.1,2,8,0.075,0,0,0,1,1,166,76,60,0
"185","bt","bglm",167,50,0.1,2,8,0.075,0,0,0,1,1,166,139,97,0
"186","bt","bglm",167,100,0.1,2,8,0.075,0,0,0,3,3,164,292,140,0
"187","bt","bglm",167,25,0.1,8,2,0.1,0,0,0,2,2,165,41,39,2
"188","bt","bglm",167,50,0.1,8,2,0.1,0,0,0,6,6,161,79,72,7
"189","bt","bglm",167,100,0.1,8,2,0.1,0,0,0,6,6,161,176,130,46
"190","bt","bglm",167,25,0.1,2,8,0.1,0,0,0,2,2,165,142,99,0
"191","bt","bglm",167,50,0.1,2,8,0.1,0,0,0,1,1,166,304,144,0
"192","bt","bglm",167,100,0.1,2,8,0.1,0,0,0,0,0,167,701,163,2
"193","bt","bglm",167,25,0.1,8,2,0.125,0,0,0,9,9,158,74,70,4
"194","bt","bglm",167,50,0.1,8,2,0.125,0,0,0,6,6,161,142,111,31
"195","bt","bglm",167,100,0.1,8,2,0.125,0,0,0,6,6,161,273,159,114
"196","bt","bglm",167,25,0.1,2,8,0.125,0,0,0,1,1,166,254,140,0
"197","bt","bglm",167,50,0.1,2,8,0.125,0,0,0,1,1,166,591,167,0
"198","bt","bglm",167,100,0.1,2,8,0.125,0,0,0,1,1,166,1082,167,22
"199","bt","bglm",167,25,0.1,8,2,0.15,0,0,0,8,8,159,135,108,27
"200","bt","bglm",167,50,0.1,8,2,0.15,0,0,0,6,6,161,235,152,83
"201","bt","bglm",167,100,0.1,8,2,0.15,0,0,0,10,9,158,324,167,157
"202","bt","bglm",167,25,0.1,2,8,0.15,0,0,0,2,2,165,450,159,0
"203","bt","bglm",167,50,0.1,2,8,0.15,0,0,0,2,2,165,885,167,3
"204","bt","bglm",167,100,0.1,2,8,0.15,0,0,0,2,2,165,1272,167,116
"205","bt","bglm",167,25,0.1,8,2,0.175,0,0,0,1,1,166,189,134,55
"206","bt","bglm",167,50,0.1,8,2,0.175,0,0,0,6,6,161,293,165,128
"207","bt","bglm",167,100,0.1,8,2,0.175,0,0,0,11,11,156,333,167,166
"208","bt","bglm",167,25,0.1,2,8,0.175,0,0,0,0,0,167,697,166,1
"209","bt","bglm",167,50,0.1,2,8,0.175,0,0,0,2,2,165,1177,167,64
"210","bt","bglm",167,100,0.1,2,8,0.175,0,0,0,0,0,167,1334,167,165
"211","bt","bglm",167,25,0.1,8,2,0.2,0,0,0,2,2,165,249,158,91
"212","bt","bglm",167,50,0.1,8,2,0.2,0,0,0,8,8,159,318,167,151
"213","bt","bglm",167,100,0.1,8,2,0.2,0,0,0,8,7,160,334,167,167
"214","bt","bglm",167,25,0.1,2,8,0.2,0,0,0,1,1,166,928,167,11
"215","bt","bglm",167,50,0.1,2,8,0.2,0,0,0,1,1,166,1291,167,127
"216","bt","bglm",167,100,0.1,2,8,0.2,0,0,0,0,0,167,1336,167,167
"217","bt","bglm",167,25,0.1,8,2,0.001,0.5,0,0,11,8,159,2,2,0
"218","bt","bglm",167,50,0.1,8,2,0.001,0.5,0,0,4,3,164,3,3,0
"219","bt","bglm",167,100,0.1,8,2,0.001,0.5,0,0,3,3,164,0,0,0
"220","bt","bglm",167,25,0.1,2,8,0.001,0.5,0,0,0,0,167,13,12,0
"221","bt","bglm",167,50,0.1,2,8,0.001,0.5,0,0,2,2,165,6,5,0
"222","bt","bglm",167,100,0.1,2,8,0.001,0.5,0,0,3,3,164,3,3,0
"223","bt","bglm",167,25,0.1,8,2,0.025,0.5,0,0,5,5,162,7,6,1
"224","bt","bglm",167,50,0.1,8,2,0.025,0.5,0,0,10,9,158,3,3,0
"225","bt","bglm",167,100,0.1,8,2,0.025,0.5,0,0,5,5,162,9,8,1
"226","bt","bglm",167,25,0.1,2,8,0.025,0.5,0,0,1,1,166,12,11,0
"227","bt","bglm",167,50,0.1,2,8,0.025,0.5,0,0,0,0,167,20,12,0
"228","bt","bglm",167,100,0.1,2,8,0.025,0.5,0,0,0,0,167,30,17,0
"229","bt","bglm",167,25,0.1,8,2,0.05,0.5,0,0,6,5,162,5,5,0
"230","bt","bglm",167,50,0.1,8,2,0.05,0.5,0,0,13,11,156,15,13,2
"231","bt","bglm",167,100,0.1,8,2,0.05,0.5,0,0,4,4,163,35,29,6
"232","bt","bglm",167,25,0.1,2,8,0.05,0.5,0,0,1,1,166,37,22,0
"233","bt","bglm",167,50,0.1,2,8,0.05,0.5,0,0,2,2,165,70,32,0
"234","bt","bglm",167,100,0.1,2,8,0.05,0.5,0,0,2,2,165,104,52,0
"235","bt","bglm",167,25,0.1,8,2,0.075,0.5,0,0,9,7,160,26,22,4
"236","bt","bglm",167,50,0.1,8,2,0.075,0.5,0,0,11,7,160,39,33,6
"237","bt","bglm",167,100,0.1,8,2,0.075,0.5,0,0,9,7,160,73,54,19
"238","bt","bglm",167,25,0.1,2,8,0.075,0.5,0,0,1,1,166,64,38,0
"239","bt","bglm",167,50,0.1,2,8,0.075,0.5,0,0,2,2,165,183,71,1
