"method","model","nsim","ntrt","pi0","nep_h0","nep_ha","slope","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor"
"bonf","glm",10000,100,0.1,8,2,0.05,0.9,0,0,307,108,9892,1165,794,371
"bonf","glm",10000,25,0.1,2,8,0.05,0.9,0,0,23,20,9980,593,171,19
"bonf","glm",10000,50,0.1,2,8,0.05,0.9,0,0,40,28,9972,1619,480,32
"bonf","glm",10000,100,0.1,2,8,0.05,0.9,0,0,77,55,9945,4413,1175,158
"bonf","glm",10000,25,0.1,8,2,0.075,0.9,0,0,73,28,9972,380,257,123
"bonf","glm",10000,50,0.1,8,2,0.075,0.9,0,0,133,57,9943,1240,830,410
"bonf","glm",10000,100,0.1,8,2,0.075,0.9,0,0,304,113,9887,3698,2323,1375
"bonf","glm",10000,25,0.1,2,8,0.075,0.9,0,0,15,14,9986,1526,470,35
"bonf","glm",10000,50,0.1,2,8,0.075,0.9,0,0,40,31,9969,5034,1290,200
"bonf","glm",10000,100,0.1,2,8,0.075,0.9,0,0,62,49,9951,15339,3283,818
"bonf","glm",10000,25,0.1,8,2,0.1,0.9,0,0,64,28,9972,1090,729,361
"bonf","glm",10000,50,0.1,8,2,0.1,0.9,0,0,223,80,9920,3240,2031,1209
"bonf","glm",10000,100,0.1,8,2,0.1,0.9,0,0,215,87,9913,8965,5186,3779
"bonf","glm",10000,25,0.1,2,8,0.1,0.9,0,0,8,6,9994,4120,1061,134
"bonf","glm",10000,50,0.1,2,8,0.1,0.9,0,0,52,37,9963,13457,2868,746
"bonf","glm",10000,100,0.1,2,8,0.1,0.9,0,0,72,57,9943,35706,6219,2631
"bonf","glm",10000,25,0.1,8,2,0.125,0.9,0,0,65,29,9971,2214,1412,802
"bonf","glm",10000,50,0.1,8,2,0.125,0.9,0,0,180,72,9928,6918,4128,2790
"bonf","glm",10000,100,0.1,8,2,0.125,0.9,0,0,279,102,9898,15000,8050,6950
"bonf","glm",10000,25,0.1,2,8,0.125,0.9,0,0,24,18,9982,9003,2021,413
"bonf","glm",10000,50,0.1,2,8,0.125,0.9,0,0,55,39,9961,27463,5080,1887
"bonf","glm",10000,100,0.1,2,8,0.125,0.9,0,0,92,67,9933,60446,8776,5928
"bonf","glm",10000,25,0.1,8,2,0.15,0.9,0,0,84,30,9970,4535,2775,1760
"bonf","glm",10000,50,0.1,8,2,0.15,0.9,0,0,156,69,9931,11731,6574,5157
"bonf","glm",10000,100,0.1,8,2,0.15,0.9,0,0,268,114,9886,18835,9633,9202
"bonf","glm",10000,25,0.1,2,8,0.15,0.9,0,0,18,13,9987,18336,3671,1016
"bonf","glm",10000,50,0.1,2,8,0.15,0.9,0,0,33,27,9973,46952,7475,4013
"bonf","glm",10000,100,0.1,2,8,0.15,0.9,0,0,85,66,9934,75118,9790,8748
"bonf","glm",10000,25,0.1,8,2,0.175,0.9,0,0,71,28,9972,7925,4638,3287
"bonf","glm",10000,50,0.1,8,2,0.175,0.9,0,0,126,50,9950,16110,8555,7555
"bonf","glm",10000,100,0.1,8,2,0.175,0.9,0,0,290,99,9901,19878,9972,9906
"bonf","glm",10000,25,0.1,2,8,0.175,0.9,0,0,22,16,9984,32031,5729,2249
"bonf","glm",10000,50,0.1,2,8,0.175,0.9,0,0,36,28,9972,64290,9057,6535
"bonf","glm",10000,100,0.1,2,8,0.175,0.9,0,0,73,55,9945,79479,9986,9817
"bonf","glm",10000,25,0.1,8,2,0.2,0.9,0,0,63,25,9975,11644,6525,5119
"bonf","glm",10000,50,0.1,8,2,0.2,0.9,0,0,126,62,9938,18733,9586,9147
"bonf","glm",10000,100,0.1,8,2,0.2,0.9,0,0,268,117,9883,19991,9998,9993
"bonf","glm",10000,25,0.1,2,8,0.2,0.9,0,0,21,15,9985,46710,7428,3913
"bonf","glm",10000,50,0.1,2,8,0.2,0.9,0,0,29,21,9979,74677,9763,8614
"bonf","glm",10000,100,0.1,2,8,0.2,0.9,0,0,66,55,9945,79966,10000,9988
