"method","model","pis","nresp","ntrt","corr","nsim","percent","percenti","pererror","perfail","N","J","cor"
"bonf","glm",0.5,5,25,0.9,10000,0.044,0.0198,0,0,100,5,0.9
"bonf","glm",0.5,5,50,0,10000,0.0472,0.0462,0,0,200,5,0
"bonf","glm",0.5,5,50,0.5,10000,0.0463,0.0395,0,0,200,5,0.5
"bonf","glm",0.5,5,50,0.9,10000,0.0443,0.0211,0,0,200,5,0.9
"bonf","glm",0.5,5,100,0,10000,0.0494,0.0487,0,0,400,5,0
"bonf","glm",0.5,5,100,0.5,10000,0.0473,0.0405,0,0,400,5,0.5
"bonf","glm",0.5,5,100,0.9,10000,0.0548,0.0235,0,0,400,5,0.9
"bonf","glm",0.5,10,25,0,10000,0.0394,0.0391,0,0,100,10,0
"bonf","glm",0.5,10,25,0.5,10000,0.0391,0.0313,0,0,100,10,0.5
"bonf","glm",0.5,10,25,0.9,10000,0.0324,0.011,0,0,100,10,0.9
"bonf","glm",0.5,10,50,0,10000,0.0436,0.0428,0,0,200,10,0
"bonf","glm",0.5,10,50,0.5,10000,0.0463,0.0336,0,0,200,10,0.5
"bonf","glm",0.5,10,50,0.9,10000,0.0482,0.0147,0,0,200,10,0.9
"bonf","glm",0.5,10,100,0,10000,0.0458,0.0451,0,0,400,10,0
"bonf","glm",0.5,10,100,0.5,10000,0.0454,0.0362,0,0,400,10,0.5
"bonf","glm",0.5,10,100,0.9,10000,0.0548,0.0174,0,0,400,10,0.9
"mmm","glm",0.01,3,25,0,10000,0,0,0.1862,0,100,3,0
"mmm","glm",0.01,3,25,0.5,10000,1e-04,1e-04,0.1384,0,100,3,0.5
"mmm","glm",0.01,3,25,0.9,10000,2e-04,1e-04,0.0851,0,100,3,0.9
"mmm","glm",0.01,3,50,0,10000,0,0,0.1172,0,200,3,0
"mmm","glm",0.01,3,50,0.5,10000,2e-04,2e-04,0.0986,0,200,3,0.5
"mmm","glm",0.01,3,50,0.9,10000,0.0014,5e-04,0.0554,0,200,3,0.9
"mmm","glm",0.01,3,100,0,10000,0.0012,0.0012,0.0211,0,400,3,0
"mmm","glm",0.01,3,100,0.5,10000,0.0024,0.002,0.02,0,400,3,0.5
"mmm","glm",0.01,3,100,0.9,10000,0.0141,0.0068,0.0105,0,400,3,0.9
"mmm","glm",0.01,5,25,0,10000,0,0,0.2895,0,100,5,0
"mmm","glm",0.01,5,25,0.5,10000,0,0,0.1821,0,100,5,0.5
"mmm","glm",0.01,5,25,0.9,10000,0,0,0.0892,0,100,5,0.9
"mmm","glm",0.01,5,50,0,10000,0,0,0.1764,0,200,5,0
"mmm","glm",0.01,5,50,0.5,10000,0,0,0.1371,0,200,5,0.5
"mmm","glm",0.01,5,50,0.9,10000,0.0021,6e-04,0.0694,0,200,5,0.9
"mmm","glm",0.01,5,100,0,10000,8e-04,8e-04,0.0385,0,400,5,0
"mmm","glm",0.01,5,100,0.5,10000,9e-04,9e-04,0.0322,0,400,5,0.5
"mmm","glm",0.01,5,100,0.9,10000,0.0142,0.0049,0.017,0,400,5,0.9
"mmm","glm",0.01,10,25,0,10000,0,0,0.4915,0,100,10,0
"mmm","glm",0.01,10,25,0.5,10000,0,0,0.2221,0,100,10,0.5
"mmm","glm",0.01,10,25,0.9,10000,0,0,0.107,0,100,10,0.9
"mmm","glm",0.01,10,50,0,10000,0,0,0.3293,0,200,10,0
"mmm","glm",0.01,10,50,0.5,10000,0,0,0.2072,0,200,10,0.5
"mmm","glm",0.01,10,50,0.9,10000,6e-04,1e-04,0.0932,0,200,10,0.9
"mmm","glm",0.01,10,100,0,10000,1e-04,1e-04,0.071,0,400,10,0
"mmm","glm",0.01,10,100,0.5,10000,6e-04,6e-04,0.0633,0,400,10,0.5
"mmm","glm",0.01,10,100,0.9,10000,0.0087,0.0017,0.0228,0,400,10,0.9
"mmm","glm",0.0625,3,25,0,10000,0.0079,0.0079,0.0098,0,100,3,0
"mmm","glm",0.0625,3,25,0.5,10000,0.0101,0.0093,0.0074,0,100,3,0.5
"mmm","glm",0.0625,3,25,0.9,10000,0.0277,0.0143,0.006,0,100,3,0.9
"mmm","glm",0.0625,3,50,0,10000,0.0267,0.0264,0,0,200,3,0
"mmm","glm",0.0625,3,50,0.5,10000,0.0312,0.0278,1e-04,0,200,3,0.5
"mmm","glm",0.0625,3,50,0.9,10000,0.0602,0.0319,0,0,200,3,0.9
"mmm","glm",0.0625,3,100,0,10000,0.0422,0.0417,0,0,400,3,0
"mmm","glm",0.0625,3,100,0.5,10000,0.0461,0.0418,0,0,400,3,0.5
"mmm","glm",0.0625,3,100,0.9,10000,0.0768,0.0444,0,0,400,3,0.9
"mmm","glm",0.0625,5,25,0,10000,0.0056,0.0054,0.0138,0,100,5,0
"mmm","glm",0.0625,5,25,0.5,10000,0.0063,0.0057,0.0146,0,100,5,0.5
"mmm","glm",0.0625,5,25,0.9,10000,0.0369,0.0134,0.0089,0,100,5,0.9
"mmm","glm",0.0625,5,50,0,10000,0.0182,0.0182,2e-04,0,200,5,0
"mmm","glm",0.0625,5,50,0.5,10000,0.0259,0.0216,3e-04,0,200,5,0.5
"mmm","glm",0.0625,5,50,0.9,10000,0.072,0.0308,1e-04,0,200,5,0.9
"mmm","glm",0.0625,5,100,0,10000,0.039,0.0388,0,0,400,5,0
"mmm","glm",0.0625,5,100,0.5,10000,0.0435,0.0363,0,0,400,5,0.5
"mmm","glm",0.0625,5,100,0.9,10000,0.1062,0.0448,0,0,400,5,0.9
"mmm","glm",0.0625,10,25,0,10000,0.0018,0.0018,0.0287,0,100,10,0
"mmm","glm",0.0625,10,25,0.5,10000,0.0034,0.0031,0.0228,0,100,10,0.5
"mmm","glm",0.0625,10,25,0.9,10000,0.0455,0.0097,0.011,0,100,10,0.9
"mmm","glm",0.0625,10,50,0,10000,0.0149,0.0149,0,0,200,10,0
"mmm","glm",0.0625,10,50,0.5,10000,0.024,0.0181,1e-04,0,200,10,0.5
"mmm","glm",0.0625,10,50,0.9,10000,0.1032,0.029,1e-04,0,200,10,0.9
"mmm","glm",0.0625,10,100,0,10000,0.0306,0.03,0,0,400,10,0
"mmm","glm",0.0625,10,100,0.5,10000,0.0418,0.0342,0,0,400,10,0.5
"mmm","glm",0.0625,10,100,0.9,10000,0.1448,0.0434,0,0,400,10,0.9
"mmm","glm",0.125,3,25,0,10000,0.0276,0.0271,0,0,100,3,0
"mmm","glm",0.125,3,25,0.5,10000,0.0332,0.029,0,0,100,3,0.5
"mmm","glm",0.125,3,25,0.9,10000,0.0595,0.0322,3e-04,0,100,3,0.9
"mmm","glm",0.125,3,50,0,10000,0.0409,0.0405,0,0,200,3,0
"mmm","glm",0.125,3,50,0.5,10000,0.044,0.0393,0,0,200,3,0.5
"mmm","glm",0.125,3,50,0.9,10000,0.0817,0.0458,0,0,200,3,0.9
"mmm","glm",0.125,3,100,0,10000,0.0466,0.046,0,0,400,3,0
"mmm","glm",0.125,3,100,0.5,10000,0.0561,0.0504,0,0,400,3,0.5
